Brand,Chipset Manufacturer:,Model,VRAM,Description,Boost Clock,Cuda Cores,Shader Clock,Effective Memory Clock,Stream Processors,Direct X,HDMI,Model Number,D-Sub,Display Port,OpenGl,Dvi:,PixelPipelines,Slot Width,Max Resolution:,Cooler,Low Profile,release_date,code_name,manufacturer_tech,bus_interface,vram,core_frequency,vram_frequency,shader_frequency,core_config,purpose,open_gl,thermal_design_power,m_operations_s,g_pixels_s,m_texals_s,m_vertices_,v_ram_bandwidth,v_ram_bus_type,v_ram_bus_width,directx,
NVIDIA,NVIDIA,GeForce 210,1024,MSI NVIDIA GeForce 210 1GB GDDR3 VGA/DVI/HDMI Low Profile PCI-Express Video Card,,,,,,DirectX 10.1,,NV808030,,,,,,,2560 x 1600,With Fan,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
Jaton Corporation,NVIDIA,GeForce 210,512,JATON VIDEO-PX210-LX GeForce 210 512MB 128-Bit DDR2 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,,16,,,,DirectX 9,,VIDEO-PX210-LX,,,,,,,,,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
Jaton Corporation,NVIDIA,GeForce 210,512,JATON Video-PX628-DLP GeForce 210 512MB 128-Bit DDR2 PCI Express 2.0 x16 Low Profile Ready Video Card,,,,,,DirectX 10,1 x HDMI,Video-PX628-DLP,,,,,,,,,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
EVGA,NVIDIA,GeForce 210,512,EVGA 512-P3-1310-LR GeForce 210 512MB 32-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,,,1230MHz,,,,,512-P3-1310-LR,,,,,,,,,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
MSI,NVIDIA,GeForce 210,1024,MSI N210-MD1G/D3 GeForce 210 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,,,1402MHz,,,,,N210-MD1G/D3,,,,,,,,,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
ZOTAC,NVIDIA,GeForce 210,1024,ZOTAC ZT-20313-10L GeForce 210 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,,,1040MHz,,,,,ZT-20313-10L,,,,,,,,,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
EVGA,NVIDIA,GeForce 6200,512,EVGA 512-P1-N402-LR GeForce 6200 512MB 64-Bit DDR2 PCI 2.1 Video Card,,,,532 MHz (effective),,DirectX 9,,512-P1-N402-LR,,,,,,,,,,4/1/12,GF119,40,PCIe 2.0 x16,512,523,898,1046,,desktop,4.5,25,,,,,,,,11,
EVGA,NVIDIA,GeForce 6200,512,EVGA 512-A8-N403-LR GeForce 6200 512MB 64-Bit GDDR2 AGP 8X Video Card,,,,,,,,512-A8-N403-LR,,,,,4,,,,,4/1/12,GF119,40,PCIe 2.0 x16,512,523,898,1046,,desktop,4.5,25,,,,,,,,11,
Jaton Corporation,NVIDIA,GeForce 6200,256,JATON Video-348PCI-256TWIN GeForce 6200 256MB 64-Bit DDR2 PCI Video Card,,,,,,DirectX 9,,Video-348PCI-256TWIN,2 x D-SUB,,,,,,,,,4/1/12,GF119,40,PCIe 2.0 x16,512,523,898,1046,,desktop,4.5,25,,,,,,,,11,
Jaton Corporation,NVIDIA,GeForce 6200,256,JATON Video-348PCI-LX GeForce 6200 256MB 64-Bit DDR2 PCI Low Profile Ready Video Card,,,,,,DirectX 10,,Video-348PCI-LX,2 x D-SUB,,,,,,,,,4/1/12,GF119,40,PCIe 2.0 x16,512,523,898,1046,,desktop,4.5,25,,,,,,,,11,
Jaton Corporation,NVIDIA,GeForce 6200,128,JATON Video-338PCI-DX GeForce 6200 128MB 64-Bit DDR PCI Low Profile Ready Video Card,,,,,4,DirectX 9,,Video-338PCI-DX,,,,,,,,,,4/1/12,GF119,40,PCIe 2.0 x16,512,523,898,1046,,desktop,4.5,25,,,,,,,,11,
Jaton Corporation,NVIDIA,GeForce 6200,512,JATON VIDEO-348PCI-LP GeForce 6200 512MB 64-Bit DDR2 PCI Low Profile Ready Video Card,,,,,4,DirectX 9,,VIDEO-348PCI-LP,,,,,,,,,,4/1/12,GF119,40,PCIe 2.0 x16,512,523,898,1046,,desktop,4.5,25,,,,,,,,11,
Jaton Corporation,NVIDIA,GeForce 6200,256,JATON Video-338PCI-LX GeForce 6200 256MB 64-Bit DDR PCI Low Profile Ready Video Card,,,,,4,DirectX 9,,Video-338PCI-LX,,,,,,,,,,4/1/12,GF119,40,PCIe 2.0 x16,512,523,898,1046,,desktop,4.5,25,,,,,,,,11,
Jaton Corporation,NVIDIA,GeForce 6200,512,JATON 3DForce 6200Xe-DVI GeForce 6200A 512MB 64-Bit DDR2 AGP 4X/8X Low Profile Ready Video Card,,,,,,,,3DForce 6200Xe-DVI,1 x D-SUB,,,1 x DVI,,,,,,4/1/12,GF119,40,PCIe 2.0 x16,512,523,898,1046,,desktop,4.5,25,,,,,,,,11,
Jaton Corporation,NVIDIA,GeForce 6200,256,JATON Video-348PCI-256DVI GeForce 6200 256MB 64-Bit DDR2 PCI Low Profile Ready Video Card,,,,,,,,Video-348PCI-256DVI,1 x D-SUB,,,1 x DVI,,,,,,4/1/12,GF119,40,PCIe 2.0 x16,512,523,898,1046,,desktop,4.5,25,,,,,,,,11,
Jaton Corporation,NVIDIA,GeForce 6200,256,JATON 3DFORCE6200Twin-LP GeForce 6200 256MB 64-Bit DDR2 AGP 4X/8X Low Profile Ready Video Card,,,,,,DirectX 9,,3DFORCE6200Twin-LP,,,OpenGL 2.0,,,,,,,4/1/12,GF119,40,PCIe 2.0 x16,512,523,898,1046,,desktop,4.5,25,,,,,,,,11,
Jaton Corporation,NVIDIA,GeForce 6200,512,JATON Video-348PCI-TWIN GeForce 6200 512MB 64-Bit DDR2 PCI 2.1 Video Card,,,,,,DirectX 9,,Video-348PCI-TWIN,,,OpenGL 2.0,,4,,,,,4/1/12,GF119,40,PCIe 2.0 x16,512,523,898,1046,,desktop,4.5,25,,,,,,,,11,
PNY Technologies Inc.,NVIDIA,GeForce 8400 GS,1024,New PNY Video Graphics Card NVIDIA GeForce 8400 GS 1 GB GDDR3 DMS-59 Low Profile PCI-Express 1GB(SaveMart),,8,1230MHz,,,,,JMIPS12,,,,,,,,,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
MSI,NVIDIA,GeForce 8400 GS,1024,MSI N8400GS-MD1GD3H/LP GeForce 8400 GS 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,,8,1230MHz,,,,,N8400GS-MD1GD3H/LP,,,,,,,,,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
