manufacturer,mini_itx,micro_atx,atx,extended_atx,steel,plastic,aluminum,Color:,description,with_power_supply,psu_mount_location,psu_wattage,filter,expansion_slots,weight,side_panel_window,,front_ports,Model #:,internal_3_5_drive_bays,external_5_25_drive_bay,external_3_5_drive_bay,"Internal 2.5"" Drive Bays:",power_supply_mount_location,Removable Filter:,Type,Dimensions (H x W x D):,200mm Fans,140mm Fans,120mm Fans,90mm Fans:,80mm Fans:,40mm Fans,Radiator Support
Raidmax,,,1,,1,1,,,RAIDMAX Horus ATX-322WB Black Steel / Plastic ATX Mid Tower Computer Case,No,Front,,,,,,,,ATX-322WB,3,3,,,,,,,,,,,,,
NZXT,,,1,,1,1,,,NZXT CA-S220W-B1 Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,,CA-S220W-B1,,3,,,Bottom,,,,,,,,,,
Antec,,,1,,,,,,Antec Sonata Proto No Power Supply ATX Mid Tower Case (Black),No,,,,,,No,,,40468,,3,2,,,,,,,,,,,,
Cooler Master,,,1,,,,,,COOLER MASTER RC-K550-KWN1 (K550) Full Midnight Black SECC Polymer Mesh ATX Mid Tower Computer Case,No,,,,,,Yes,,,RC-K550-KWN1,,3,,,Bottom,,,,,,,,,,
Thermaltake,,,,,1,,,,Thermaltake V9 BlacX Edition Gaming Chassis Mid Tower Steel Computer Case BlacX Top Mounted Dual HDD Docking Stations VM400M1W2Z,No,,,,,,Yes,,,VM400M1W2Z,,3,,,Bottom,,,,,,,,,,
COUGAR,,,1,,1,,,,COUGAR Solution Black Steel ATX Mid Tower Computer Case with 12cm COUGAR TURBINE HYPER-SPIN Bearing Silent Fan and USB 3.0,No,,,,,,No,,,Solution,,3,,,Bottom,,,,,,,,,,
COUGAR,,,1,,1,,,Green,COUGAR Solution AF-2 Black & Army Green Steel ATX Mid Tower Computer Case with 12cm COUGAR TURBINE HYPER-SPIN Bearing Silent Fan and USB 3.0,No,,,,,,No,,,Solution AF-2,,3,,,Bottom,,,,,,,,,,
COUGAR,,,1,,1,,,,COUGAR Volant Black Steel ATX Mid Tower Computer Case,No,,,,,,No,,,Volant,,3,,,Bottom,,,,,,,,,,
Raidmax,,,1,,1,1,,Black/Orange,RAIDMAX Seiran II ATX-302WB Black/Orange Steel / Plastic ATX Mid Tower Computer Case,No,Bottom,,,,,,,,ATX-302WB,3,3,,,,,,,,,,,,,
Raidmax,,,1,,1,1,,,RAIDMAX Raptor ATX-823BR Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,No,,,ATX-823BR,,3,,,Bottom,,,,,,,,,,
In Win,,1,,,,,,,IN WIN Dragon Slayer Black 0.6mm SECC MicroATX Mini Tower Computer Case,No,,,,,,No,,,Dragon Slayer,,3,,,Bottom,,,,,,,,,,
Cooler Master,,,,,,,,,Cooler Master HAF XM - High Air Flow Mid Tower Computer Case with USB 3.0 and Two External Drive Docks,No,,,,,,No,,,RC-922XM-KKN1,,3,,,Bottom,,,,,,,,,,
COUGAR,,,1,,1,,,Black/Orange,COUGAR Orange Challenger Black Steel ATX Computer Case with 12cm COUGAR TURBINE HYPER-SPIN Bearing Silent Fans and 20cm LED Fan,No,,,,,,Yes,,,Challenger-O,,3,,,Bottom,,,,,,,,,,
Enermax,,,1,,,,,,ENERMAX COENUS GUNMETAL GREY ECA3290A-G ATX MID TOWER COMPUTER CASE,,,,,,,Yes,,,ECA3290A-G,7,3,,,Bottom,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Urban R21 Black SECC ATX Mid Tower Computer Case (CA-1A6-00M1WN-00),Standard PS2 PSU (optional),,,,,,Transparent Window,,,CA-1A6-00M1WN-00,,3,1,,,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Commander G41/Black/Win/SECC Black SPCC ATX Mid Tower Computer Case (CA-1B4-00M1WN-00),Standard PS2 PSU (optional),,,,,,Transparent Window,,,CA-1B4-00M1WN-00,,3,"Converted from one 5.25"" drive bay",,,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Chaser A31 VP300A6W2N White SECC ATX Mid Tower Gaming Case,,,,,,,Yes,,,VP300A6W2N,,3,"1 x 3.5"" (Converted from one 5.25"" drive bay)",,Bottom,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Urban Series S21 VP800A1W2N Black SECC ATX Mid Tower Mid-tower Chassis,,,,,,,Yes,,,VP800A1W2N,,3,1,,Bottom,,,,,,,,,,
Thermaltake,,,1,,1,1,,,Thermaltake Chaser Series A31 VP300A1W2N Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,,VP300A1W2N,,3,,,Bottom,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Chaser A31 VP300A5W2N Blue SECC ATX Mid Tower Gaming Case,No,,,,,,Yes,,,VP300A5W2N,,3,,,Bottom,,,,,,,,,,
Corsair,,,1,,,,,,Corsair Carbide Series 300R Windowed Black ATX Mid Tower Case,No,,,,,,No,,,300R Windowed,,3,,,Bottom,,,,,,,,,,
Raidmax,,,1,,1,1,,,RAIDMAX ATX-503WP Black/Pink Steel / Plastic ATX Mid Tower Computer Case,No,Bottom,,,,,,,,ATX-503WP,,3,1 convert from 5.25_褲 external drive bay,,,,,,,,,,,,
In Win,,,1,,1,,,,IN WIN MANA134 Black SEEC Steel ATX Mid Tower Computer Case,No,,,,,,No,,,MANA134,,3,,,Bottom,,,,,,,,,,
In Win,,,1,,1,,,,IN WIN MANA137 Black SEEC Steel ATX Mid Tower Computer Case,No,,,,,,No,,,MANA137,,3,,,Bottom,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Urban S71 VP500M1W2N Black SECC ATX Windowed Full Tower Chassis,No,Top,,,,,,,,VP500M1W2N,,3,1,,,,Full Tower,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake VP500M1N2N Black SECC ATX Full Tower Computer Case,No,,,,,,No,,,VP500M1N2N,1-Jun,3,,,,,Full Tower,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Urban S31 VP700M1N2N Black SECC ATX Mid Tower Chassis,,,,,,,No,,,VP700M1N2N,,3,1,,Bottom,,,,,,,,,,
GIGABYTE,,,1,,,,,,GIGABYTE Luxo M30  White GZ-ZLM3CO White ABS / Mesh ATX Mid Tower Computer Case,,,,,,,Transparent Window,,USB 3.0 x 2 USB 2.0 x 2 + HD Audio,Luxo M30 White GZ-ZLM3CO,8,3,,,,,,,,,,,,,
BitFenix Co. Ltd.,,,1,,1,1,,,BitFenix Shadow Series BFC-SDO-150-KKXBR-RP Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,No,,,BFC-SDO-150-KKXBR-RP,,3,,,Bottom,,,,,,,,,,
Enermax,,,1,,1,1,,,ENERMAX Ostrog GT ECA3280A-BL Black / Blue Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,,ECA3280A-BL,,3,,,Bottom,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Chaser A71 VP400M1W2N Black SECC ATX Full Tower Case,No,,,,,,Yes,,,VP400M1W2N,,3,,,Bottom,,Full Tower,,,,,,,,
NZXT,,,1,,1,1,,,Refurbished: NZXT Source 210 CS-NT-S210-B Black SECC Steel ABS Plastic ATX Mid Tower Computer Case,No,,,,,,No,,1 x Audio/Mic 2 x USB 2...,CS-NT-S210-B,,3,,,Bottom,,,,,,,,,,
NZXT,,,1,,1,,,,Refurbished: NZXT Source 210 Elite Black Steel with painted interior ATX Mid Tower Computer Case w/ Black Front Trim,No,,,,,,No,,1 x Standard Audio/Mic ...,Source 210 Elite,,3,,,Bottom,,,,,,,,,,
NZXT,,,1,,1,,1,,NZXT Source 220 CA-SO220-01 Black Steel / Aluminum-like finish ATX Mid Tower Computer Case,No,,,,,,No,,1 x USB 3.0 / 1 x USB 2....,CA-SO220-01,,3,,,Bottom,,,,,,,,,,
Thermaltake,,,1,,,,,Black/Red,Thermaltake Commander MS-I Epic Edition Black / Red SECC ATX Mid Tower Computer Case,No,,,,,,Yes,,1 x USB 3.0 / 1 x USB 2....,VN400A1W2N-B,,3,,,Bottom,,,,,,,,,,
Thermaltake,,,1,,,1,,,Thermaltake Versa I VO600A1N3N Black SGCC / Plastic ATX Mid Tower Computer Case,No,,,,,,No,,1 x USB 3.0 / 1 x USB 2....,VO600A1N3N,,3,,,Bottom,,,,,,,,,,
Raidmax,,,1,,1,1,,,RAIDMAX Cobra ATX-502WTIU Titanium/Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,1 x USB 3.0 / 1 x USB 2....,ATX-502WTIU,,3,,,Bottom,,,,,,,,,,
Raidmax,,,1,,1,1,,,RAIDMAX Cobra ATX-502WUU Black with Blue front panel Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,1 x USB 3.0 / 1 x USB 2....,ATX-502WUU,,3,,,Bottom,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Chaser A21 Black SECC ATX Mid Tower Computer Case,No,,,,,,Yes,,1 x USB 3.0 / 1 x USB 2....,Chaser A21,,3,,,Bottom,,,,,,,,,,
Raidmax,,,1,,1,1,,,RAIDMAX Cobra ATX-502WWW Black with White front panel Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,1 x USB 3.0 / 1 x USB 2....,ATX-502WWW,,3,,,Bottom,,,,,,,,,,
Raidmax,,,1,,1,1,,,RAIDMAX Sting Ray ATX-249B Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,No,,1 x USB 3.0 / 1 x USB 2....,ATX-249B,,3,,,Bottom,,,,,,,,,,
Raidmax,,,1,,1,1,,,RAIDMAX Cobra ATX-502WBG Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,1 x USB 3.0 / 1 x USB 2....,ATX-502WBG,,3,,,Bottom,,,,,,,,,,
NZXT,,,1,,1,,,,NZXT Source 210 Elite Black Steel with painted interior ATX Mid Tower Computer Case w/ Black Front Trim,No,,,,,,No,,1 x USB 3.0 / 1 x USB 2....,Source 210 Elite,,3,,,Bottom,,,,,,,,,,
Raidmax,,,1,,1,1,,,RAIDMAX ATX-402WB Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,1 x USB 3.0 / 1 x USB 2....,ATX-402WB,,3,,,Bottom,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Commander Series VN40006W2N White / Black SECC ATX Mid Tower Computer Case,No,,,,,,No,,1 x USB 3.0 / 1 x USB 2....,VN40006W2N,,3,,,Bottom,,,,,,,,,,
NZXT,,,1,,1,,,White,Refurbished: NZXT Source 210 Elite White Steel with painted interior ATX Mid Tower Computer Case w/ Black Front Trim,No,,,,,,No,,1 x USB 3.0 / 1 x USB 2....,Source 210 Elite,,3,,,Bottom,,,,,,,,,,
GIGABYTE,,,1,,1,,,,GIGABYTE GZ-ZHSGWJ Black Steel ATX Mid Tower Computer Case,,,,,,,Transparent plastic,,1 x USB 3.0 / 2 x USB 2....,GZ-ZHSGWJ,8,3,,,,,,,,,,,,,
In Win,,,1,,1,,,,IN WIN GT1 White SECC Steel ATX Mid Tower Computer Case,No,,,,,,Yes,,1 x USB 3.0 / 2 x USB 2....,GT1,,3,,,Bottom,,,,,,,,,,
Raidmax,,,1,,1,1,,,RAIDMAX Helios ATX-819WB Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,1 x USB 3.0 / 2 x USB 2....,ATX-819WB,,3,,,Bottom,,,,,,,,,,
In Win,,,1,,1,,,,IN WIN GT1 Black SECC Steel ATX Mid Tower Computer Case,No,,,,,,Yes,,1 x USB 3.0 / 2 x USB 2....,GT1,,3,,,Bottom,,,,,,,,,,
NZXT,,,1,,1,1,,White,Refurbished: NZXT CA-PH240-W1 White Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,1xHD Audio/Mic2xUSB3.0 ...,CA-PH240-W1,6,3,,,,,,,,,,,,,
Rosewill,,,1,,,,,,Rosewill Computer Case - CHALLENGER - ATX Mid Tower - Black Gaming - Three Included Fans - Two Extra Side Fans Supported,No,,,,,,No,,2 x USB 2.0 1 x e-SATA...,CHALLENGER,,3,,,Bottom,,,,,,,,,,
Rosewill,,,1,,,,,,Rosewill CHALLENGER-U3 Black Gaming ATX Mid Tower Computer Case comes with Three Fans-1x Front Blue LED 120mm Fan 1x Top 140mm Fan 1x Rear 120mm Fan front mounted dual USB 3.0,No,,,,,,No,,2 x USB 3.0 1 x e-SATA...,CHALLENGER-U3,,3,,,Bottom,,,,,,,,,,
Rosewill,,,1,,,,,,Rosewill Mid Tower Case - R5 _研 Gaming Black ATX - Fan Controller 2 x Front Fans Front USB 2.0 & USB3.0 Ports Removable Filter Panels,No,,,,,,No,,1 x USB 3.0 2 x USB 2.0...,R5,,4-Mar,,,Bottom,,,,,,,,,,
Rosewill,,,,,1,,,,Rosewill Computer Case - REDBONE U3 - Mid Tower - 3 x 120mm Fans SECC Steel Black eSATA USB 3.0,No,,,,,,No,,2 x USB 3.0 1 x e-SATA,REDBONE U3,,3,,,Bottom,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Urban S31 VP700M1W2N Black SECC ATX Windowed Mid Tower Chassis,No,,,,,,Yes,,,VP700M1W2N,,3,,,Bottom,,,,,,,,,,
BitFenix Co. Ltd.,,,1,,1,1,,,BitFenix Ghost BFC-GHO-300-KKN1-RP Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,No,,,BFC-GHO-300-KKN1-RP,,3,,,Bottom,,,,,,,,,,
Cooler Master,,,,,,,,,Cooler Master Cosmos SE - Mid Tower Computer Case with High-End Water Cooling Support and Carrying Handles,No,,,,,,Yes,,,COS-5000-KWN1,,3,,,Bottom,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Urban T31 - Window Black SECC ATX Mini Tower Computer Case (CA-1A5-00M1WN-00),Standard PS2 PSU (optional),,,,,,Transparent Window,,,CA-1A5-00M1WN-00,,3,,,Bottom,,,,,,,,,,
Corsair,,,1,,1,1,,,Corsair Graphite Series 730T Black Steel / Plastic ATX Full Tower Gaming Case with Two 140mm Red LED Fans,No,,,,,,Yes,,(x2) USB 3.0 (x2) USB 2...,730T,3,,,3,,,Full Tower,,,,,,,,
Lian-Li,,,1,,,,1,,LIAN LI PC-7HWX Black Aluminum ATX Mid Tower Computer Case,,,,,,,Yes,,USB 3.0 x2 / HD Audio,PC-7HWX,3.5-Inch HDD x4 / 2.5-Inch HDD x1,3,,,,,,,,,,,,,
COUGAR,,,1,,,,,,COUGAR MX500 Black ATX Mid Tower Computer Case,No,,,,,,No,,,MX500,,3,,,Bottom,,,,,,,,,,
Lian-Li,,,1,,,,1,,LIAN LI PC-9F Black Aluminum ATX Mid Tower Computer Case,No,,,,,,,,USB3.0 x 2 / e-SATA x1 / HD Audio,PC-9F,6,3,,,,,,,,,,,,,
AeroCool,,,1,,1,,,,AeroCool Xpredator-X3 White Edition White 0.7/0.6 SPCC Steel ATX Mid Tower Computer Case,,,,,,,,2 x USB 3.0 / Audio+Mic ...,2 x USB 3.0 / Audio+Mic / 2 x Fan Controller,Xpredator-X3 White E,"1x3.5"" (Converted from one 5.25"" bay)","3 x 5.25"" ODD",,"8x3.5"" HDD (or 8x2.5"" HDD/SSD mounted on 3.5"" HDD tray)",,,,,,,,,,,
AeroCool,,,1,,,,,,AeroCool Xpredator-X3 Devil Red Edition Black SPCC ATX Mid Tower Computer Case,,,,,,,,2 x USB 3.0 / Audio+Mic ...,2 x USB 3.0 / Audio+Mic / 2 x Fan Controller,Xpredator-X3 Devil R,"1x3.5"" (Converted from one 5.25"" bay)","3 x 5.25"" ODD",,"8x3.5"" HDD (or 8x2.5"" HDD/SSD mounted on 3.5"" HDD tray)",,,,,,,,,,,
AeroCool,,,1,,,,,,AeroCool Xpredator-X1 Black Edition Black SPCC 0.5mm ATX Mid Tower Computer Case,,,,,,,,2 x USB 3.0 / Audio+Mic ...,2 x USB 3.0 / Audio+Mic,Xpredator-X1 Black E,"1x3.5"" (Converted from one 5.25"" bay)","3 x 5.25"" ODD",,"6x2.5"" HDD/SSD (with convertor bracket-included) or 6x3.5"" HDD (with convertor bracket-included)",,,,,,,,,,,
Antec,,,1,,1,1,,,Antec Eleven Hundred Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,2 x USB 3.0 / 2 x USB 2....,Eleven Hundred,,"3 x 5.25"" tool-less drive bays",,,Bottom,,,,,,,,,,
Antec,,1,1,1,1,,1,,Antec P280 Black Aluminum / Steel Super Mid Tower Computer Case,No,,,,,,No,,2 x USB 3.0 / 2 x USB 2....,P280,,"3 x 5.25"" tool-less drive bays",,,Bottom,,,,,,,,,,
Phanteks Company,,,1,,1,1,,,Phanteks _岩Enthoo Pro series_褲 PH-ES614PC_BK Black Steel / Plastic ATX Full Tower Computer Case,No,,,,,,No,,,PH-ES614PC_BK,6 (2x 3 HDD cages),3,,,,,Full Tower,,,,,,,,
Phanteks Company,,,1,,1,1,,White,Phanteks _岩Enthoo Pro Series _岩PH-ES614P_WT White Steel / Plastic ATX Full Tower Computer Case,No,,,,,,Yes,,,PH-ES614P_WT,6 (2x 3 HDD cages),3,,,,,Full Tower,,,,,,,,
APEX (SUPERCASE/ALLIED),,1,,,1,,,,APEX TX-388 Black Steel MicroATX Mid Tower Computer Case 300W Power Supply,Yes,,,,,,No,,2 x USB 2.0 / Audio Fron...,TX-388,,2,,,Top,,,,,,,,,,
APEX (SUPERCASE/ALLIED),,1,,,1,,,,APEX TX-373 Black Steel MicroATX Mid Tower Computer Case 300W Power Supply,Yes,,,,,,No,,2 x USB2.0 ; 2 x Audio F...,TX-373,,2,,,Top,,,,,,,,,,
XION,,,1,,1,1,,,XION Gaming Series XON-980-BK Black with RED LED Light Steel / Plastic ATX Mid Tower Computer Case,No,Bottom,,,,,,,,XON-980-BK,,3 (with Anti-vibration rubber-pads),No,,,,,,,,,,,,
Compucase,,,1,,1,,,,HEC Blitz Black Steel Edition ATX Mid Tower Computer Chassis Gaming Case w/ Front Blue LED 120mm Fan & Top 120mm Fan,No,,,,,,No,,,Blitz,,4,,,Bottom,,,,,,,,,,
Silverstone,,,,,1,1,,,SilverStone RAVEN Series RV05B-W Black Plastic outer shell steel body Computer Case,,,,,,,Yes,,,RV05B-W,2,Slim slot-loading optical x 1,,2,,,,,,,,,,,
Silverstone,,,1,,1,,1,,SilverStone FT05S-W Fortress Series Aluminum Front / Steel Body / ATX Silver Computer Case with Side Window Panel,,,,,,,Yes,,USB 3.0 x 2 Audio x 1 MIC x 1,FT05S-W,2,,,2,,,,,,,,,,,
BitFenix Co. Ltd.,,,,,1,1,1,Silver,BitFenix BFC-PAN-300-KSWL1-RP Silver Aluminum Steel Plastic Computer Case,,,,,,,Yes,,USB 3.0 x 2 HD Audio,BFC-PAN-300-KSWL1-RP,2,,,3,,,,,,,,,,,
Rosewill,,,1,,1,,,,Rosewill Computer Case- R103A - ATX Mid Tower Black Steel - 20 + 4-Pin 350W PSU,Yes,,350W ATX Power Supply,,,,No,2 x USB 2.0,,R103A,,4,,,Top,,,,,,,,,,
Cooler Master,,,,,,,,,Cooler Master Elite 330U - Mid Tower Computer Case with 350W Power Supply,Yes,,350W Power Supply,,,,No,2 x USB 2.0 / Audio Fron...,,RC-330U-KKR350,,4,,,Bottom,,,,,,,,,,
Cooler Master,,,,,,,,,Cooler Master Elite 361 - Mini Tower Computer Case with 350W Power Supply and Rotatable Logo,Yes,,350W Power Supply,,,,No,2 x USB 2.0 / Audio Fron...,,RC-361-KKR350,,1,,,Top,,,,,,,,,,
Logisys Computer,,1,,,,,,,LOGISYS Computer CS6802BK Black SGCC MicroATX Slim Case Computer Case 350W Power Supply,Yes,,350W Power Supply,,,,,2 x USB 3.0 Front Ports,,CS6802BK,1,1,,1,,,,,,,,,,,
BitFenix Co. Ltd.,,,,,1,1,1,,BitFenix BFC-PAN-300-KKWL1-RP Black Aluminum Steel Plastic Computer Case,,,,,,,Yes,,USB 3.0 x 2 HD Audio,BFC-PAN-300-KKWL1-RP,2,,,3,,,,,,,,,,,
Rosewill,,,1,,1,1,,,Rosewill BLACKBONE Computer Case - ATX Mid Tower Black Steel & Plastic,No,,,,,,No,,,Blackbone,,3,,,Top,,,,,,,,,,
Fractal Design,,1,,,1,,,,Fractal Design FD-CA-ARC-MINI-R2-BL-W Black Steel MicroATX Mini Tower Computer Case,No,,,,5,,,,,FD-CA-ARC-MINI-R2-BL-W,,2,,,,,,,,,,,,,
Antec,,,1,,1,,,,Antec NSK 4482B Black 0.8mm cold rolled steel ATX Mid Tower Computer Case 380W Power Supply,Yes,,380W Power Supply,,,,No,2 x USB 3.0 / Audio Fron...,,NSK 4482B,,3,,,Top,,,,,,,,,,
AeroCool,,,1,,1,,,,AeroCool Mechatron-Black Steel Edition Black 0.6 SECC Steel ATX Mid Tower Computer Case,,,"3x5.25"" ODD External 5.2...",,,,,2 x USB 3.0 / Audio+Mic ...,2 x USB 3.0 / Audio+Mic,Mechatron-Black Stee,"3x2.5"" HDD/SSD (with 2.5"" HDD tray)","3x5.25"" ODD",,,,,,,,,,,,,
AeroCool,,,1,,,,,,AeroCool Strike-X GT-Bk Black SECC ATX Mid Tower Computer Case,No,,"3x5.25"" ODD External 5.2...",,,,No,1 x USB 3.0 / 3 x USB 2....,,Strike-X GT-Bk,,"3x5.25"" ODD",,,Bottom,,,,,,,,,,
NZXT,,,1,,1,1,,White,NZXT Phantom 630 Windowed Edition White Steel / Plastic ATX Full Tower Computer Case,No,,4 Exter,,,,Yes,1 x Audio/Mic 2 x USB 2....,,CA-P630W-W1,,4,,,Bottom,,Full Tower,,,,,,,,
Lian-Li,,1,,,,,1,,LIAN LI PC-V351B Black Aluminum MicroATX Desktop Computer Case,No,Bottom,,,,,,,,PC-V351B,,2,1,,,,,,,,,,,,
XIGMATEK,,,1,,1,,,,Xigmatek CCM-35ABX-U01 (Recon) Black Steel ATX Mid Tower Computer Case,,,,,,,,,USB 2.0 / USB 3.0 / Audio,CCM-35ABX-U01 (Recon),4,2,,2,,,,,,,,,,,
APEVIA CORP.,,,1,,1,,,Green,APEVIA X-DREAMER4 Series X-DREAMER4-GN Black / Green Steel ATX Mid Tower Computer Case,No,,,,,,Yes,2 x USB 2.0 / 1 x USB 3....,,X-DREAMER4-GN,,4,,,Bottom,,,,,,,,,,
APEVIA CORP.,,,1,,1,,,,APEVIA X-DREAMER4 Series X-DREAMER4-BL Black / Blue Steel ATX Mid Tower Computer Case,No,,,,,,Yes,2 x USB 2.0 / 1 x USB 3....,,X-DREAMER4-BL,,4,,,Bottom,,,,,,,,,,
APEVIA CORP.,,,1,,1,,,,APEVIA X-DREAMER4 Series X-DMR4-NW-BK Black Steel ATX Mid Tower Computer Case,No,,,,,,Yes,2 x USB 2.0 / 1 x USB 3....,,X-DMR4-NW-BK,,4,,,Bottom,,,,,,,,,,
APEVIA CORP.,,,1,,1,,,,APEVIA X-DREAMER4 Series X-DREAMER4-PK Pink Steel ATX Mid Tower Computer Case,No,,,,,,Yes,2 x USB 2.0 / 1 x USB 3....,,X-DREAMER4-PK,,4,,,Bottom,,,,,,,,,,
APEVIA CORP.,,,1,,1,,,Black/Red,APEVIA X-Hermes X-HERMES-RD Black/Red Steel ATX Mid Tower Computer Case w/ Side Window-Red,No,,,,,,Yes,2 x USB 2.0 / 1 x USB 3....,,X-HERMES-RD,,4,,,Bottom,,,,,,,,,,
APEVIA CORP.,,,1,,1,,,Black/Red,APEVIA X-DREAMER4 Series X-DREAMER4-RD Black / Red Steel ATX Mid Tower Computer Case,No,,,,,,Yes,2 x USB 2.0 / 1 x USB 3....,,X-DREAMER4-RD,,4,,,Bottom,,,,,,,,,,
APEVIA CORP.,,,1,,1,,,,APEVIA X-Hermes X-HERMES-BL Black/Blue Steel ATX Mid Tower Computer Case w/ Side Window-Blue,No,,,,,,Yes,2 x USB 2.0 / 1 x USB 3....,,X-HERMES-BL,,4,,,Bottom,,,,,,,,,,
APEVIA CORP.,,,1,,1,,,Silver,APEVIA X-DREAMER4 Series X-DREAMER4-AL Silver Steel ATX Mid Tower Computer Case,No,,,,,,Yes,2 x USB 2.0 / 1 x USB 3....,,X-DREAMER4-AL,,4,,,Bottom,,,,,,,,,,
NZXT,,,1,,1,1,,White,NZXT Phantom 630 CA-PH630-W1 White Steel / Plastic ATX Full Tower Computer Case,No,,,,,,Yes,2 x USB 2.0 / 1 x USB 3....,,CA-PH630-W1,,4,,,Bottom,,Full Tower,,,,,,,,
Thermaltake,,,1,,,1,,,Thermaltake V3 Black Edition VL80001W2Z Black SECC / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,2 x USB 2.0 / Audio Fron...,,VL80001W2Z,,4,,,Bottom,,,,,,,,,,
Thermaltake,,,,,1,,,,Thermaltake V4 Black Edition Gaming Chassis Mid Tower Steel Computer Case Fully Black Powdered Interior VM30001W2Z,No,,,,,,Yes,2 x USB 2.0 / Audio Fron...,,VM30001W2Z,,4,,,Bottom,,,,,,,,,,
Raidmax,,,1,,1,,,Silver,RAIDMAX SMILODON ATX-612WB Black/Silver 1.0mm SECC Steel ATX Mid Tower Foldout MB Computer Case,No,,,,,,Yes,2 x USB 2.0 / Audio Fron...,,ATX-612WB,,4,,,Top,,,,,,,,,,
NZXT,,,1,,1,1,,,NZXT SWITCH 810 Matte Black CA-SW810-M1 Steel / Plastic ATX HYBRID Full Tower Gaming Computer Case,No,,,,,,Yes,2 x USB 2.0 2 x USB 3.0...,,CA-SW810-M1,,4,,,Bottom,,Full Tower,,,,,,,,
NZXT,,,1,,1,1,,,NZXT SWITCH 810 Gun-Metal CA-SW810-G1 Steel / Plastic ATX HYBRID Full Tower Gaming Computer Case,No,,,,,,Yes,2 x USB 2.0 2 x USB 3.0...,,CA-SW810-G1,,4,,,Bottom,,Full Tower,,,,,,,,
GIGABYTE,,,1,,,,,,GIGABYTE GZ-ZA1 Black ABS / 0.6mm SGCC ATX Mid Tower Computer Case,No,,,,,,,2 x USB 2.0 HD Audio Fr...,,GZ-ZA1,5,4,,,,,,,,,,,,,
GIGABYTE,,,1,,,,,,GIGABYTE GZ-ZA2 Black ABS / 0.6mm SGCC ATX Mid Tower Computer Case,No,,,,,,,2 x USB 2.0 HD Audio Fr...,,GZ-ZA2,5,4,,,,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Chaser Series Chaser MK-I (VN300M1W2N) Black SECC ATX Full Tower Computer Case,No,,,,,,Transparent Window,2 x USB 3.0 / 2 x USB 2....,,Chaser MK-I (VN300M1W2N),,4,,,Bottom,,Full Tower,,,,,,,,
Zalman Tech Co. Ltd,,,1,,1,1,,,ZALMAN Z12 Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,No,2 x USB 3.0 / 2 x USB 2....,,Z12,,4,,,Bottom,,,,,,,,,,
Zalman Tech Co. Ltd,,,1,,1,1,,,ZALMAN Z11 Plus HF1 Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,2 x USB 3.0 / 2 x USB 2....,,Z11 Plus HF1,,4,,,Bottom,,,,,,,,,,
AZZA,,,1,,1,,,,AZZA CSAZ-XT 1W White Japanese SECC Steel ATX Full Tower Computer Case,No,,,,,,Yes,2 x USB 3.0 / 2 x USB 2....,,CSAZ-XT 1W,,4,,,Bottom,,Full Tower,,,,,,,,
APEX (SUPERCASE/ALLIED),,,1,,1,,,,APEX PCV-588 Black Steel ATX Mid Tower Computer Case,No,,,,,,No,2 x USB 3.0 / 2 x USB 2....,,PCV-588,,4,,,Bottom,,,,,,,,,,
