manufacturer,mini_itx,micro_atx,atx,extended_atx,steel,plastic,aluminum,Color:,description,with_power_supply,psu_mount_location,psu_wattage,filter,expansion_slots,weight,side_panel_window,,front_ports,Model #:,internal_3_5_drive_bays,external_5_25_drive_bay,external_3_5_drive_bay,"Internal 2.5"" Drive Bays:",power_supply_mount_location,Removable Filter:,Type,Dimensions (H x W x D):,200mm Fans,140mm Fans,120mm Fans,90mm Fans:,80mm Fans:,40mm Fans,Radiator Support
DIYPC,,,1,,,,,black/green,DIYPC Skyline-07-G Black/Green SECC ATX Full Tower Gaming USB 3.0 Computer Case w/ 7 x 120mm Green fans,,Bottom,,,,,,,2 x USB 3.0 / 2 x USB 2.0 / Audio / 1 x eSATA,Skyline-07-G,,,,,,,Full Tower,,,,2 x Front 120mm LED Green Fan (pre-installed) 2 x Top 120mm Green Fan (pre-installed) 2 x Side 120mm LED Green Fan (pre-installed) 1 x Rear 120mm Green Fan (pre-installed) 1 x Bottom 120mm Fan (Optional),,,,
GIGABYTE,,,1,,1,,,,GIGABYTE SUMO OMEGA GZ-ZSUCWP Black ABS + Steel ATX Mid Tower Mid Tower,,,,,,,,,USB 3.0 x 2 USB 2.0 x 2 + HD Audio,SUMO OMEGA GZ-ZSUCWP,8,3,,,,,,,,,,,,,
NZXT,,,1,,1,,,White,NZXT Source 210 Elite White Steel with painted interior ATX Mid Tower Computer Case w/ Black Front Trim,,Bottom,,,,,,1 x USB 3.0 / 1 x USB 2....,1 x USB 3.0 / 1 x USB 2.0 / Audio,Source 210 Elite,,,,,,,,,,,1 x 120mm rear fan @ 1200rpm (included) 2 x 120mm front fan (optional) 1 x 120mm buttom fan (optional),,,,
Cooler Master,,1,1,,,,,,Cooler Master Elite 431 Plus - Mid Tower Computer Case with Windowed Side Panel and USB 3.0,No,,,,,,,1 x USB 3.0 / 2 x USB 2....,1 x USB 3.0 / 2 x USB 2.0 / Audio,RC-431P-KWN2,,,,,,,,,,,Front: 120mm blue LED fan x 1 or 140mm fan x 1(optional) Top: 120mm fan x 2 (optional),,,,
Rosewill,,,1,,,,,,Rosewill Galaxy-01 - Black Gaming ATX Mid Tower Computer Case - Three Fans Included Up to Four Fans Supported Top-Mounted USB 3.0 Port,,Bottom,,,,,,,1 x USB 3.0 / 2 x USB 2.0 / Audio,Galaxy-01,,,,,,,,,,,1 x Front 120mm Blue LED Fan (pre-installed) 1 x Rear 120mm Fan (pre-installed) 1 x Top 120mm Fan (pre-installed),,,,
Lian-Li,,,1,,,,1,,LIAN LI PC-T60B Black Aluminum ATX / Micro-ATX TEST BENCH Computer Case,No,,,,,,,,,PC-T60B,,2,,,,,,,,,,,,,
DIYPC,,,1,,,,,black/green,DIYPC Ranger-R8-G Black/Green USB 3.0 ATX Mid Tower Gaming Computer Case with 3 x Green Fans (1 x 140mm LED Fan x side 1x120mm LED Fan x front 1 x 120mm fan x rear),,Bottom,,,,,,1 x USB3.0; 2 x USB2.0,1 x USB 3.0 / 2 x USB 2.0 / Audio,Ranger-R8-G,,,,,,,,,,,1 x Front 120mm LED Green Fan (pre-installed) 1 x Top 120mm Fan (Optional) 1 x Rear 120mm Green Fan (pre-installed),,,,
DIYPC,,,1,,,,,,DIYPC Ranger-R8-Y Black/Yellow USB 3.0 ATX Mid Tower Gaming Computer Case with 3 x Yellow Fans (1 x 140mm LED Fan x side 1x120mm LED Fan x front 1 x 120mm fan x rear),,Bottom,,,,,,1 x USB3.0; 2 x USB2.0,1 x USB 3.0 / 2 x USB 2.0 / Audio,Ranger-R8-Y,,,,,,,,,,,1 x Front 120mm LED Yellow Fan (pre-installed) 1 x Top 120mm Fan (Optional) 1 x Rear 120mm Yellow Fan (pre-installed),,,,
RAIJINTEK CO. LTD,,1,1,,,,,,RAIJINTEK ARCADIA - USB 3.0 7 PCI Slots 200mm width Tool-Free for ODD and HDD Dust-Control Filters 12025 Fan Preinstalled Supports VGA Card up to 400mm and CPU Cooler Heigth Up to 160mm - White,,Bottom,,,,,,,USB 2.0 / USB 3.0 / Audio,0R200005,,,,,,,,,1,,1,,,,
RAIJINTEK CO. LTD,,1,1,,,,,,RAIJINTEK ARCADIA - USB 3.0 7 PCI Slots 200mm Width Tool-Free for ODD and HDD Dust-Control Filters 12025 fan preinstalled Supports VGA Card Up to 400mm and CPU Cooler Heigth Up to 160mm,,Bottom,,,,,,,USB 2.0 / USB 3.0 / Audio,0R200004,,,,,,,,,1,,1,,,,
GIGABYTE,,,1,,,,,,GIGABYTE GZ-ZGS5B5 Black SPCC ATX Mid Tower Computer Case,,,,,,,,,USB 2.0 x 2 HD Audio,GZ-ZGS5B5,5,2,,,,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Versa H24 CA-1C1-00M1NN-00 Black w/ Window SPCC ATX Gaming Mid Tower Computer Case,,,,,,,Yes,,USB 3.0 x 1USB 2.0 x 1 HD Audio x 1,CA-1C1-00M1WN-00,,,,,,,,,,,Front (intake) :(optional) 120 x 120 x 25 mm x 2 Rear (exhaust) : 120 x 120 x 25 mm Turbo fan (1000rpm 16dBA) Top (exhaust) :(optional) 120 x 120 x 25 mm x 2,,,,
Raidmax,,,1,,1,1,,,RAIDMAX Altas ATX-295WB Black Steel / Plastic ATX Mid Tower Computer Case,,Bottom,,,,,,1 x USB 3.0 / 1 x USB 2....,1 x USB 3.0 / 1 x USB 2.0 / Audio,ATX-295WB,,,,,,,,,,,1 x 120 mm Rear Fan,,,,
Rosewill,,,1,,,,,,"Rosewill PATRIOT - Gaming ATX Mid Tower Computer Case - Coated Supports 13"" (33 cm) VGA Cards Comes with Four Fans Up to 7 Fans Supported Window Side Panel Included",,Bottom,,,,,,2 x USB 3.0 2 x USB 2.0...,2 x USB 3.0 / 2 x USB 2.0 / Audio,PATRIOT,,,,,,,,,,,2 x Front Blue LED 120mm Fan 1 x Top 120mm Fan 1 x Rear 120mm Fan,,,,
AeroCool,,,1,,,,,,AeroCool StrikeX-One Black SECC ATX Mid Tower Computer Case,,,,,,,,2 x USB2.0 / Audio+Mic F...,2 x USB2.0 / Audio+Mic,StrikeX-One,"6x2.5"" HDD/SSD (with convertor bracket-included) or 6x3.5"" HDD (with convertor bracket-included)","4 x 5.25"" ODD",,,,,,,,,,,,,
Cooler Master,,1,1,,,,,,Cooler Master HAF 922 - High Air Flow Mid Tower Computer Case with USB 3.0 and All-Black Interior,,Bottom,,,,,,,USB 3.0 / Audio / e-SATA,RC-922M-KKN3-GP,,,,,,,,,,,1 x 120mm rear fan,,,,
DIYPC,,,1,,,,,,DIYPC Shadow-H01-BK Black Dual USB 3.0 ATX Mid Tower Gaming Computer Case with Build-in 6 x Blue Fans (2 x 120mm LED Fan x Top 2 x 120mm LED Fan x Front 1 x 140mm Fan x Side 1 x 120mm Fan x rear,,Bottom,,,,,,2 x USB 3.0; 2 x USB2.0;...,1 x USB 3.0 / 2 x USB 2.0 / Audio,Shadow-H01-BK,,,,,,,,,,,2 x Front 120mm LED Blue Fan (Pre-Installed) 2 x Top 120mm LED Blue Fan (Pre-Installed) 1 x Rear 120mm Blue Fan (Pre-Installed),,,,
