manufacturer,description,wattag,Class,modular,plus_80,rail_12v,pcie_6+2_pin,pcie_6_pin,pcie_8_pin,main_connector,fans_120mm,fans_135mm,fans_80mm,fans_140mm,featurelist_contents
APEVIA CORP.,APEVIA WARLOCK POWER ATX-WA900W 900W ATX12V / EPS12V SLI Ready CrossFire Ready Active PFC Power Supply,900,,,,4,2,2,,20+4,,,,,Fans: 1 x 135mm Changeable Fan Lights; Main Connector: 20+4Pin; +12V Rails: 4; PCI-Express Connector: 2 x 6-Pin 2 x 6+2-Pin; Model #: ATX-WA900W; Item #: N82E16817148036; Return Policy: Standard Return Policy
APEVIA CORP.,APEVIA ATX-CW500WP4 500W ATX Power Supply,500,,,,2,,1,,20+4,,,,,Fans: 2; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 1 x 6-Pin; Model #: ATX-CW500WP4; Item #: N82E16817148027; Return Policy: Standard Return Policy
APEVIA CORP.,APEVIA ATX-AS680W-BL 680W ATX12V / EPS12V SLI Ready Power Supply,680,,,,2,,2,,20+4,1,,1,,Fans: 1 x 120mm UV blue LED fan 2 x 80mm UV blue fan; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 2 x 6-Pin; Model #: ATX-AS680W-BL; Item #: N82E16817148022; Return Policy: Standard Return Policy
APEX (SUPERCASE/ALLIED),APEX AL-D500EXP 500W ATX12V Power Supply,500,,,,2,,2,,24,,,,,Fans: 1; Main Connector: 24Pin; +12V Rails: 2; PCI-Express Connector: 2 x 6-Pin; Model #: AL-D500EXP; Item #: N82E16817154026; Return Policy: Standard Return Policy
APEX (SUPERCASE/ALLIED),APEX AL-A350ATX 350W ATX12V Power Supply APEX AL-A350ATX 350W ATX12V Power Supply,350,,,,2,0,0,0,24,,,,,Fans: 1; Main Connector: 24Pin; +12V Rails: 2; PCI-Express Connector: No; Model #: AL-A350ATX; Item #: N82E16817154012; Return Policy: Standard Return Policy
APEX (SUPERCASE/ALLIED),APEX AL-A350ATX 350W ATX12V Power Supply APEX AL-A350ATX 350W ATX12V Power Supply,350,,,,2,0,0,0,24,,,,,Fans: 1; Main Connector: 24Pin; +12V Rails: 2; PCI-Express Connector: No; Model #: AL-A350ATX; Item #: N82E16817154012; Return Policy: Standard Return Policy
Ark Technology Inc.,HOT Cool Power CP-G700 Gamer 700W ATX 12V SATA PCI-E SLI N-ew for Intel AMD 1 Fan 700 watt Power Supply,700,,,,,,2,,,,,,,Main Connector: 20/24-pin x1 (20 pin convertible); PCI-Express Connector: 2 x 6-Pin; Efficiency: 70% Min. at full load; Input Frequency Range: 50/60 Hz; Model #: N82EW16017538028; Item #: 9SIA7252NX8883; Return Policy: View Return Policy
Ark Technology Inc.,HOT Cool Power CP-G700 Gamer 700W ATX 12V SATA PCI-E SLI N-ew for Intel AMD 1 Fan 700 watt Power Supply,700,,,,,,2,,,,,,,Main Connector: 20/24-pin x1 (20 pin convertible); PCI-Express Connector: 2 x 6-Pin; Efficiency: 70% Min. at full load; Input Frequency Range: 50/60 Hz; Model #: N92E16017538028; Item #: 9SIA4UB2T64969; Return Policy: View Return Policy
Ark Technology Inc.,New  Ark Technology ARK600/12 600W ATX Power Supply with 12CM Fan PCIe,600,,,,,,,,,,,,,Fans: 1; MTBF: >100KHrs at 25å¡C; Model #: N92E16017538138; Item #: 9SIA4UB2T65054; Return Policy: View Return Policy
Ark Technology Inc.,Ark Technology 500W Computer Power Supply ARK500/8D Supports SATA with Dual 8CM Fans (SaveMart),500,,,,,,,,20+4,,,,,Fans: 2; MTBF: >100KHrs at 25å¡C; Connectors: 20+4pin x 1 4pin P4 x 1 SATA x 2 4pin Molex x 3 FDD x 1; Model #: T4073118; Item #: 9SIA5751V52695; Return Policy: View Return Policy
Athena Power,Athena Power AP-MP4ATX60FEP8 600W MicroATX / SFX12V / EPS12V / ATX V2.2 SLI Ready CrossFire Ready 80 Plus Bronze Certified Power Supply - OEM,600,,,80+ Bronze Certification...,4,2,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: 4; PCI-Express Connector: 2 x 6+2-Pin; Model #: AP-MP4ATX60FEP8; Item #: N82E16817338105; Return Policy: Standard Return Policy
Athena Power,Athena Power AP-MP4ATX30 300W SFX-12V ATX-12V eMachines HP Upgrades/Replacement Power Supply,300,,,,1,0,0,0,20+4,,,,,Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: No; Over Voltage Protection: Yes; Model #: AP-MP4ATX30; Item #: N82E16817338031; Return Policy: Standard Return Policy
Athena Power,Athena Power AP-MFATX35 350W Mini ITX / Micro FLEX ATX / ATX12V 80 PLUS BRONZE Certified Active PFC Power Supply for many HP Slimline System Upgrades/Replacement,350,,,Mini ITX / Micro FLEX AT...,2,0,1,0,20+4,,,,,Fans: 1 x 40mm ball-bearing fan; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: PCIE 6 Pin; Model #: AP-MFATX35; Item #: N82E16817338063; Return Policy: Standard Return Policy
Athena Power,Athena Power AP-MTFX30 300W TFX12V Power Supply for many HP Slimline System Upgrades/Replacement - OEM,300,,,,2,0,0,0,20+4,,,,,Fans: 1 x 40mm ball-bearing fan with speed control; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: No; Model #: AP-MTFX30; Item #: N82E16817338056; Return Policy: Standard Return Policy
Athena Power,New Athena Power AP-MP4ATX40 400W 20+4 pin SFX mATX PSU with PCIe/SATA,400,,,,,,,,,,,,,"Fans: 2; Dimensions: 2.5"" X 5"" X 4.75"" (H x W x D); Model #: N92E16017538132; Item #: 9SIA4UB2T65055; Return Policy: View Return Policy"
Athena Power,Athena Power AP-AT30 300W AT Power Supply,300,,,,1,0,0,0,,,,,,Fans: 1; +12V Rails: Single; PCI-Express Connector: No; SATA Power Connector: No; Model #: AP-AT30; Item #: N82E16817338010; Return Policy: Standard Return Policy
Athenatech U.S.A. Inc.,500w 2.3v Atx Power Supply,500,,,,,,,,,,,,,Model #: DHPS500WX1N; Return Policy: View Return Policy
Athenatech U.S.A. Inc.,Athenatech PS-550WX2N ATX12V & EPS12V Power Supply,550,,,,,,,,,,,,,Fans: 1; Features: Form Factor:Internal; Haswell Support: No; Parts: 1 Year; Model #: PS-550WX2N; Item #: N82E16817790008; Return Policy: View Return Policy
Athenatech U.S.A. Inc.,Athenatech PS-550WX2N ATX12V & EPS12V Power Supply,550,,,,,,,,,,,,,Fans: 1; Features: Form Factor:Internal; Haswell Support: No; Parts: 1 Year; Model #: PS-550WX2N; Item #: N82E16817790008; Return Policy: View Return Policy
Athenatech U.S.A. Inc.,850W Full Mod Active PFC PSU,850,,,,,,,,,,,,,Model #: SST-ST85F-P; Return Policy: View Return Policy
Athenatech U.S.A. Inc.,1500W Active PFC Power Supply,1500,,,,,,,,,,,,,Model #: SST-ST1500; Item #: 12K-00M5-00008; Return Policy: View Return Policy
Athenatech U.S.A. Inc.,Athenatech PS-450WX1N 450w 2 3v atx power supply,450,,,,,,,,,,,,,Model #: PS-450WX1N; Item #: 17C-0005-00011
Athenatech U.S.A. Inc.,450w 80 Plus Bronze Psu,450,,,,,,,,,,,,,Model #: PS-ST45SF; Item #: 0B1-00RZ-00002; Return Policy: View Return Policy
Athenatech U.S.A. Inc.,Athenatech PS-400WX1 400w 2 01 spec dual 12v ps,400,,,,,,,,,,,,,Model #: PS-400WX1; Item #: 17C-0005-00012; Return Policy: View Return Policy
Athenatech U.S.A. Inc.,Athenatech PS-400WX1 400w 2 01 spec dual 12v ps,400,,,,,,,,,,,,,Model #: PS-400WX1; Item #: 17C-0005-00012; Return Policy: View Return Policy
Athenatech U.S.A. Inc.,850W Full Mod Active PFC PSU,850,,,,,,,,,,,,,Model #: SST-ST85F-P; Return Policy: View Return Policy
Athenatech U.S.A. Inc.,1500W Active PFC Power Supply,1500,,,,,,,,,,,,,Model #: SST-ST1500; Item #: 12K-00M5-00008; Return Policy: View Return Policy
Avocent,Avocent UPD-AM 40W AC Power Supply for DSRIQ-SRL,40,,,,,,,,,,,,,Input Voltage: 240 V AC; Input Frequency Range: 50/60 Hz; Output: 40W; Features: Compatibility: Avocent AMX5000 KVM Switch; Model #: UPD-AM; Item #: N82E16812791099; Return Policy: Standard Return Policy
be quiet!,be quiet! Straight Power 10 500W ATX 12V 80 Plus Gold Modular Power Supply - SilentWings 3 Fan Ultra Silent,500,,Modular,,4,2,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: 4; PCI-Express Connector: 2 x 6+2 Pin; Model #: BN634; Item #: 9SIA68V21E0644; Return Policy: View Return Policy
be quiet!,be quiet DARK POWER PRO 10 BN602 750W Modular Power Supply,750,Dark Power Pro,Modular,,4,6,1,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: 4; PCI-Express Connector: 1 x 6-Pin 6 x 6+2-Pin; Model #: BN602; Item #: 9SIA68V21E0634; Return Policy: View Return Policy
be quiet!,be quiet! BN635 Straight Power 10 600W ATX 12V 80 Plus Gold Modular CrossFireX Power Supply - Silent Wings 3 Fan Ultra Silent,600,,Modular,,4,4,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: 4; PCI-Express Connector: 4 x 6+2 Pin; Model #: BN635; Item #: 9SIA68V21E0645; Return Policy: View Return Policy
be quiet!,be quiet DARK POWER PRO 10 BN600 550W ATX12V / EPS12V SLI Ready CrossFire Ready 80 PLUS GOLD Certified Modular Active PFC PFC SLI CrossFire 80 PLUS GOLD Certified 550W ATX 12V v2.3 / EPS 12V v2.92 Pow,550,Dark Power Pro,Modular,,4,4,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: 4; PCI-Express Connector: 1 x 6-Pin 4 x 6+2-Pin; Model #: BN600; Item #: 9SIA68V21E0635; Return Policy: View Return Policy
be quiet!,be quiet DARK POWER PRO 10 BN605 1200W ATX12V / EPS12V SLI Certified CrossFire Ready 80 PLUS GOLD Certified Modular Active PFC Power Supply,1200,Dark Power Pro,Modular,,4,8,1,0,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: 4; PCI-Express Connector: 1 x 6-Pin 8 x 6+2-Pin; Model #: BN605; Item #: 9SIA68V2CY2047; Return Policy: View Return Policy
be quiet!,be quiet BN612 Modular 850W Power Supply,850,,Full Modular,,1,4,,,20+4,,,,,Fans: 135mm Fan x 1; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 4 x 6+2-Pin; Model #: BN612; Item #: 9SIA68V21E0630; Return Policy: View Return Policy
be quiet!,Be Quiet! Power Zone 1000W ATX 12V 80 Plus Bronze Cool*off Power Supply Silentwings 135mm Fan,1000,,Full Modular,,1,4,,,20+4,,,,,Fans: 135mm Fan x 1; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 4 x 6+2-Pin; Model #: BN613; Item #: 9SIA68V21E0636; Return Policy: View Return Policy
be quiet!,be quiet BN611 Modular 750W Power Supply,750,,Full Modular,,1,4,,,20+4,,,,,Fans: 135mm Fan x 1; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 4 x 6+2-Pin; Model #: BN611; Item #: 9SIA68V21E0626; Return Policy: View Return Policy
BitFenix Co. Ltd.,BitFenix Fury Series Alchemy Premium Sleeved Cables 750W 80 PLUS GOLD Certified Active PFC Power Supply,750,,,,1,,,,,,,,,Fans: 1; +12V Rails: Single; Over Voltage Protection: Yes; Overload Protection: Yes; Model #: BFP-FUR-750G-KSXK-RP; Return Policy: View Return Policy
Cisco Systems Inc.,250W AC Config 2 Power Supply,250,,,,,,,,,,,,,Model #: PWR-C2-250WAC=; Item #: 12K-000A-000H2; Return Policy: View Return Policy
Compucase,hec HP585DB 585W ATX12V Power Supply - Power Cord Included,585,,,,1,,1,,20+4,,,,,Fans: 2 x 8 cm DC Fan; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 1 x 6-Pin; Model #: HP585DB; Item #: N82E16817339012; Return Policy: Standard Return Policy
Compucase,hec HP400D RETAIL 400W ATX12V Power Supply - Power Cord Included,400,,,,2,,1,,20+4,,,,,Fans: 2; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 1 x 6-Pin; Model #: HP400D RETAIL; Item #: N82E16817339011; Return Policy: Standard Return Policy
Cooler Master,Cooler Master V650 ‰ÛÒ Compact 650W 80 PLUS Gold PSU with Modular Molex/SATA Cables (Haswell/Kaveri Ready),650,,Modular HDD/SATA Cables,80+ Bronze Certified,1,2,,,20+4,1,,,,Fans: 120mm intelligent fan; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 2 x 6+2-Pin; Model #: RS650-AMAAG1-S1; Item #: N82E16817171093; Return Policy: View Return Policy
Cooler Master,Cooler Master GM Series G550M - Compact 550W 80 PLUS Bronze Modular PSU (Haswell/Kaveri Support),550,GM Series,Modular Molex/SATA Cable...,,,,,,,,,,,Model #: RS550-AMAAB1-US; Item #: N82E16817171098; Return Policy: View Return Policy
Cooler Master,Cooler Master GM Series G750M - Compact 750W 80 PLUS Bronze Modular PSU (Haswell/Kaveri Support),750,GM Series,Modular Molex/SATA Cable...,,,,,,,,,,,Model #: RS750-AMAAB1-US; Item #: N82E16817171096; Return Policy: View Return Policy
Cooler Master,Cooler Master GM Series G650M - Compact 650W 80 PLUS Bronze Modular PSU (Haswell/Kaveri Support),650,GM Series,Modular Molex/SATA Cable...,,,,,,,,,,,Model #: RS650-AMAAB1-US; Item #: N82E16817171097; Return Policy: Standard Return Policy
Cooler Master,COOLER MASTER GXII RS550-ACAAB1-US 550W ATX 12V V2.31 80 PLUS BRONZE Certified Active PFC Power Supply,550,GXII,,80 PLUS BRONZE Certified...,1,2,,,20+4,1,,,,Fans: 120mm intelligent fan; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 2 x 6+2-Pin; Model #: RS550-ACAAB1-US; Item #: N82E16817171090; Return Policy: Standard Return Policy
Cooler Master,COOLER MASTER GXII RS550-ACAAB1-US 550W ATX 12V V2.31 80 PLUS BRONZE Certified Active PFC Power Supply,550,GXII,,80 PLUS BRONZE Certified...,1,2,,,20+4,1,,,,Fans: 120mm intelligent fan; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 2 x 6+2-Pin; Model #: RS550-ACAAB1-US; Item #: N82E16817171090; Return Policy: Standard Return Policy
Cooler Master,Cooler Master Silent Pro M2 - 1500W Power Supply with 80 PLUS Silver Certification and Semi-Modular Cables,1500,,Modular,,2,6,,,24,,,,,Fans: 1; Main Connector: 24Pin; +12V Rails: 2; PCI-Express Connector: 6 x 6+2-Pin 6 x 8-Pin; Model #: RSF00-SPM2D3-US; Item #: N82E16817171069; Return Policy: Standard Return Policy
Cooler Master,Cooler Master V1200 - Fully Modular 1200W 80 PLUS Platinum PSU with Hybrid Fan Controller for Silent Fanless Mode (4-Way SLI Ready),1200,,,,1,,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: Single; SATA Power Connector: 12; Model #: RSC00-AFBAG1-US; Item #: N82E16817171095; Return Policy: Standard Return Policy
Cooler Master,Cooler Master Silent Pro Gold - 1200W Power Supply with 80 PLUS Gold Certification and Semi-Modular Cables,1200,,Modular,,,4,,,20+4,,,,,Fans: 135mm Ultra Silent Fan; Main Connector: 20+4Pin; PCI-Express Connector: 4 x 6-Pin 4 x 6+2-Pin; SATA Power Connector: 9; Model #: RSC00-80GAD3-US; Item #: N82E16817171055; Return Policy: Standard Return Policy
Cooler Master,Cooler Master V1000 - 1000W Power Supply with Fully Modular Cables and 80 PLUS Gold Certification,1000,,Fully Modular Cables,,1,8,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 8 x 6+2-Pin; Model #: RSA00-AFBAG1-US; Item #: N82E16817171078; Return Policy: Standard Return Policy
Cooler Master,Cooler Master Silent Pro M - 1000W Power Supply with 80 PLUS Bronze Certification and Semi-Modular Cables,1000,,,,1,6,,,20+4,,,,,Fans: 135mm ultra silent fan; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 6 x 6+2-Pin; Model #: RSA00-AMBAJ3-US; Return Policy: View Return Policy
Cooler Master,Cooler Master Elite Power - 460W Power Supply,460,Elite Power,,,2,,1,,20+4,1,,,,Fans: 1 x 120mm fan; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 1 x 6-Pin; Model #: RS-460-PSAR-I3; Item #: N82E16817171046; Return Policy: Standard Return Policy
Cooler Master,Cooler Master Elite Power - 460W Power Supply,460,Elite Power,,,2,,1,,20+4,1,,,,Fans: 1 x 120mm fan; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 1 x 6-Pin; Model #: RS-460-PSAR-I3; Item #: N82E16817171046; Return Policy: Standard Return Policy
Cooler Master,Cooler Master Elite Power - 400W Power Supply,400,Elite Power,,,,,,,,,,,,"Fans: 1; Efficiency: 70%; Dimensions: 3.4"" Height x 5.9"" Width x 5.5"" Depth; Features: Input Voltage:110 V AC 220 V AC; Model #: RS400-PSARI3-US; Item #: N82E16817171070; Return Policy: Standard Return Policy"
Cooler Master,Cooler Master Elite V2 - 550W Long-Lasting Power Supply with Full Electrical Protection (OVP/UVP/OPP/OCP/SCP),550,Elite V2,,,2,2,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 2 x 6+2-Pin; Model #: RS550-PCARN1-US; Item #: N82E16817171088; Return Policy: Standard Return Policy
Cooler Master,Coolmax Cu-700B 700W Partial Modular Power Supply,700,,,,,,,,,,,,,Model #: CU-700B; Item #: 9SIA4CP1ER0778; Return Policy: View Return Policy
Cooler Master,Coolmax Cu-600B 600W 120Mm Silent Fan Semi-Modular Power Supply,600,,,,,,,,,,,,,Model #: CU-600B; Item #: 9SIA4CP1ER0781; Return Policy: View Return Policy
CoolMax,COOLMAX NW-650B 650W ATX12V v2.2 SLI Ready / CrossFire Ready and Compatible with Core i3/i5/i7 Power Supply,650,,,,3,,2,,20+4,1,,,,Fans: 120mm cooling fan; Main Connector: 20+4Pin; +12V Rails: 3; PCI-Express Connector: 2 x 6-Pin; Model #: NW-650B; Item #: N82E16817159082; Return Policy: Standard Return Policy
