"id","manufacturer","name","core_name","core_count","manufacturer_tech","frequency","thermal_design_power","release_date","release_price","sSpec","voltage","created_at","updated_at","vram_bit_width","i_gpu","part_number","socket"
59,"Intel","Core i5-4590S","Haswell",4,22,3,65,"2014-05-01",192,,,"2015-03-09 23:57:22.874089","2015-03-09 23:57:22.874094",,"HD Graphics 4600","CM8064601561214","1150"
60,"Intel","Core i5-4690S","Haswell",4,22,3.2,65,"2014-05-01",213,,,"2015-03-09 23:57:22.874154","2015-03-09 23:57:22.874158",,"HD Graphics 4600","CM8064601561313","1150"
61,"Intel","Core i5-4590T","Haswell",4,22,2,35,"2014-05-01",192,,,"2015-03-09 23:57:22.874202","2015-03-09 23:57:22.874206",,"HD Graphics 4600","CM8064601481927","1150"
62,"Intel","Core i5-4690T","Haswell",4,22,2.5,45,"2014-05-01",213,,,"2015-03-09 23:57:22.87427","2015-03-09 23:57:22.874274",,"HD Graphics 4600","CM8064601561613","1150"
63,"Intel","Core i3-4150","Haswell",2,22,3.5,54,"2014-05-01",117,,,"2015-03-09 23:57:22.874321","2015-03-09 23:57:22.874344",,"HD Graphics 4400","CM8064601483643","1150"
64,"Intel","Core i3-4350","Haswell",2,22,3.6,54,"2014-05-01",138,,,"2015-03-09 23:57:22.874389","2015-03-09 23:57:22.874393",,"HD Graphics 4600","CM8064601482464","1150"
65,"Intel","Core i3-4360","Haswell",2,22,3.7,54,"2014-05-01",149,,,"2015-03-09 23:57:22.874451","2015-03-09 23:57:22.874455",,"HD Graphics 4600","CM8064601482461","1150"
66,"Intel","Core i3-4150T","Haswell",2,22,3,35,"2014-05-01",117,,,"2015-03-09 23:57:22.874522","2015-03-09 23:57:22.874526",,"HD Graphics 4400","CM8064601483534","1150"
67,"Intel","Core i3-4350T","Haswell",2,22,3.1,35,"2014-05-01",138,,,"2015-03-09 23:57:22.874589","2015-03-09 23:57:22.874593",,"HD Graphics 4600","CM8064601481957","1150"
68,"Intel","Core i3-4340TE","Haswell",2,22,2.6,35,"2014-05-01",138,,,"2015-03-09 23:57:22.874644","2015-03-09 23:57:22.874648",,"HD Graphics 4600","CM8064601618605","1150"
69,"Intel","Core i7-980","Gulftown",6,32,3.33,130,"2011-06-01",583,,,"2015-03-09 23:57:22.874732","2015-03-09 23:57:22.874736",,,"AT80613006756AA","1366"
70,"Intel","Core i3-2102[N 1]","Sandy Bridge",2,32,3.1,65,"2011-06-01",127,,,"2015-03-09 23:57:22.874855","2015-03-09 23:57:22.874865",,"HD Graphics 2000","CM8062301061700","1155"
71,"Intel","Core i5-3470T","Ivy Bridge ",2,22,2.9,35,"2012-06-01",184,,,"2015-03-09 23:57:22.874955","2015-03-09 23:57:22.87496",,"HD Graphics 2500","CM8063701159502","1155"
72,"Intel","Core i5-3470","Ivy Bridge ",4,22,3.2,77,"2012-06-01",184,,,"2015-03-09 23:57:22.875008","2015-03-09 23:57:22.875013",,"HD Graphics 2500","CM8063701093302","1155"
73,"Intel","Core i5-3570","Ivy Bridge ",4,22,3.4,77,"2012-06-01",205,,,"2015-03-09 23:57:22.875071","2015-03-09 23:57:22.875076",,"HD Graphics 2500","CM8063701093103","1155"
74,"Intel","Core i5-3470S","Ivy Bridge ",4,22,2.9,65,"2012-06-01",184,,,"2015-03-09 23:57:22.875121","2015-03-09 23:57:22.875125",,"HD Graphics 2500","CM8063701094000","1155"
75,"Intel","Core i5-3475S","Ivy Bridge ",4,22,2.9,65,"2012-06-01",201,,,"2015-03-09 23:57:22.87518","2015-03-09 23:57:22.875184",,"HD Graphics 4000","CM8063701212000","1155"
76,"Intel","Core i5-3570S","Ivy Bridge ",4,22,3.1,65,"2012-06-01",205,,,"2015-03-09 23:57:22.875237","2015-03-09 23:57:22.875241",,"HD Graphics 2500","CM8063701093901","1155"
77,"Intel","Core i7-4770","Haswell",4,22,3.4,84,"2013-06-01",303,,,"2015-03-09 23:57:22.875306","2015-03-09 23:57:22.87531",,"HD Graphics 4600","CM8064601464303","1150"
78,"Intel","Core i7-4770K","Haswell",4,22,3.5,84,"2013-06-01",339,,,"2015-03-09 23:57:22.87536","2015-03-09 23:57:22.875381",,"HD Graphics 4600","CM8064601464206","1150"
79,"Intel","Core i7-4770S","Haswell",4,22,3.1,65,"2013-06-01",303,,,"2015-03-09 23:57:22.875422","2015-03-09 23:57:22.875446",,"HD Graphics 4600","CM8064601465504","1150"
80,"Intel","Core i7-4765T","Haswell",4,22,2,35,"2013-06-01",303,,,"2015-03-09 23:57:22.875486","2015-03-09 23:57:22.87549",,"HD Graphics 4600","CM8064601466200","1150"
81,"Intel","Core i7-4770T","Haswell",4,22,2.5,45,"2013-06-01",303,,,"2015-03-09 23:57:22.875547","2015-03-09 23:57:22.87555",,"HD Graphics 4600","CM8064601465902","1150"
82,"Intel","Core i7-4770TE","Haswell",4,22,2.3,45,"2013-06-01",303,,,"2015-03-09 23:57:22.875606","2015-03-09 23:57:22.87561",,"HD Graphics 4600","CM8064601538900","1150"
83,"Intel","Core i7-4770R","Haswell",4,22,3.2,65,"2013-06-01",392,,,"2015-03-09 23:57:22.87567","2015-03-09 23:57:22.875674",,"Iris Pro Graphics 5200","CL8064701508001","1364"
84,"Intel","Core i5-4570T","Haswell",2,22,2.9,35,"2013-06-01",192,,,"2015-03-09 23:57:22.875725","2015-03-09 23:57:22.875728",,"HD Graphics 4600","CM8064601466203","1150"
85,"Intel","Core i5-4570TE","Haswell",2,22,2.7,35,"2013-06-01",192,,,"2015-03-09 23:57:22.875787","2015-03-09 23:57:22.87579",,"HD Graphics 4600","CM8064601484301","1150"
86,"Intel","Core i5-4430","Haswell",4,22,3,84,"2013-06-01",182,,,"2015-03-09 23:57:22.875839","2015-03-09 23:57:22.875843",,"HD Graphics 4600","CM8064601464802","1150"
87,"Intel","Core i5-4570","Haswell",4,22,3.2,84,"2013-06-01",192,,,"2015-03-09 23:57:22.875896","2015-03-09 23:57:22.875899",,"HD Graphics 4600","CM8064601464707","1150"
88,"Intel","Core i5-4670","Haswell",4,22,3.4,84,"2013-06-01",213,,,"2015-03-09 23:57:22.875951","2015-03-09 23:57:22.875955",,"HD Graphics 4600","CM8064601464706","1150"
89,"Intel","Core i5-4670K","Haswell",4,22,3.4,84,"2013-06-01",242,,,"2015-03-09 23:57:22.876006","2015-03-09 23:57:22.876009",,"HD Graphics 4600","CM8064601464506","1150"
90,"Intel","Core i5-4430S","Haswell",4,22,2.7,65,"2013-06-01",182,,,"2015-03-09 23:57:22.876174","2015-03-09 23:57:22.876182",,"HD Graphics 4600","CM8064601465803","1150"
91,"Intel","Core i5-4570S","Haswell",4,22,2.9,65,"2013-06-01",192,,,"2015-03-09 23:57:22.876252","2015-03-09 23:57:22.876257",,"HD Graphics 4600","CM8064601465605","1150"
92,"Intel","Core i5-4670S","Haswell",4,22,3.1,65,"2013-06-01",213,,,"2015-03-09 23:57:22.876303","2015-03-09 23:57:22.876307",,"HD Graphics 4600","CM8064601465703","1150"
93,"Intel","Core i5-4670T","Haswell",4,22,2.3,45,"2013-06-01",213,,,"2015-03-09 23:57:22.876366","2015-03-09 23:57:22.87637",,"HD Graphics 4600","CM8064601466003","1150"
94,"Intel","Core i5-4570R","Haswell",4,22,2.7,65,"2013-06-01",255,,,"2015-03-09 23:57:22.876432","2015-03-09 23:57:22.876436",,"Iris Pro Graphics 5200","CL8064701508603","1364"
95,"Intel","Core i5-4670R","Haswell",4,22,3,65,"2013-06-01",276,,,"2015-03-09 23:57:22.876504","2015-03-09 23:57:22.876508",,"Iris Pro Graphics 5200","CL8064701508403","1364"
96,"Intel","Core i3-3245","Ivy Bridge ",2,22,3.4,55,"2013-06-01",134,,,"2015-03-09 23:57:22.876558","2015-03-09 23:57:22.876562",,"HD Graphics 4000","CM8063701391700","1155"
97,"Intel","Core i3-3250","Ivy Bridge ",2,22,3.5,55,"2013-06-01",138,,,"2015-03-09 23:57:22.876604","2015-03-09 23:57:22.876623",,"HD Graphics 2500","CM8063701392200","1155"
98,"Intel","Core i3-3250T","Ivy Bridge ",2,22,3,35,"2013-06-01",138,,,"2015-03-09 23:57:22.876664","2015-03-09 23:57:22.876668",,"HD Graphics 2500","CM8063701391800","1155"
100,"Intel","Core i5-4690K","Haswell",4,22,3.5,88,"2014-06-01",242,,,"2015-03-09 23:57:22.876771","2015-03-09 23:57:22.876775",,"HD Graphics 4600","CM8064601710803","1150"
101,"Intel","Core i7-950","Bloomfield",4,45,3.07,130,"2009-06-01",562,,,"2015-03-09 23:57:22.876823","2015-03-09 23:57:22.876826",,,"BX80601950","1366"
102,"Intel","Core i7-975","Bloomfield",4,45,3.33,130,"2009-06-01",999,,,"2015-03-09 23:57:22.876883","2015-03-09 23:57:22.876887",,,"BX80601975","1366"
103,"Intel","Core i7-870S","Lynnfield",4,45,2.67,82,"2010-07-01",351,,,"2015-03-09 23:57:22.87694","2015-03-09 23:57:22.876944",,,"BX80605I7870S","1156"
104,"Intel","Core i7-970","Gulftown",6,32,3.2,130,"2010-07-01",885,,,"2015-03-09 23:57:22.877002","2015-03-09 23:57:22.877006",,,"AT80613005490AD","1366"
105,"Intel","Core i3-4160","Haswell",2,22,3.6,54,"2014-07-01",117,,,"2015-03-09 23:57:22.877052","2015-03-09 23:57:22.877056",,"HD Graphics 4400","CM8064601483644","1150"
106,"Intel","Core i3-4370","Haswell",2,22,3.8,54,"2014-07-01",149,,,"2015-03-09 23:57:22.877106","2015-03-09 23:57:22.87711",,"HD Graphics 4600","CM8064601482462","1150"
107,"Intel","Core i3-4160T","Haswell",2,22,3.1,35,"2014-07-01",117,,,"2015-03-09 23:57:22.877157","2015-03-09 23:57:22.877161",,"HD Graphics 4400","CM8064601483535","1150"
108,"Intel","Core i3-4360T","Haswell",2,22,3.2,35,"2014-07-01",138,,,"2015-03-09 23:57:22.877212","2015-03-09 23:57:22.877219",,"HD Graphics 4600","CM8064601481958","1150"
109,"Intel","Core i3-560","Clarkdale",2,32,3.33,73,"2010-08-01",138,,,"2015-03-09 23:57:22.877319","2015-03-09 23:57:22.877324",,,"CM80616003177AH","1156"
110,"Intel","Core i7-5820K","Haswell",6,22,3.3,140,"2014-08-01",389,,,"2015-03-09 23:57:22.877422","2015-03-09 23:57:22.877427",,,"CM8064801548435","2011-3"
111,"Intel","Core i7-5930K","Haswell",6,22,3.5,140,"2014-08-01",583,,,"2015-03-09 23:57:22.877508","2015-03-09 23:57:22.877513",,,"CM8064801548338","  2011-3"
112,"Intel","Core i7-5960X","Haswell",8,22,3,140,"2014-08-01",999,,,"2015-03-09 23:57:22.877577","2015-03-09 23:57:22.877584",,,"CM8064801547964","  2011-3"
113,"Intel","Core i5-2320","Sandy Bridge",4,32,3,95,"2011-09-01",177,,,"2015-03-09 23:57:22.877644","2015-03-09 23:57:22.877648",,"HD Graphics 2000","CM8062301043820","1155"
