itembrand_image/_alt,wrapper_link/_text,itemdescription_description,itemfeatures_value_1,itemfeatures_value_1_numbers,Cas Latency:,Voltage:,Muli-Channel,Timing:,Model #:,Buffered,ECC,Headspreader,color
Mushkin Enhanced,Mushkin Enhanced Redline 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model 996996 Mushkin Enhanced Redline 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model 996996,Mushkin Enhanced Redline 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model 996996,DDR3 2133 (PC3 17000),2133; 17000,9,1.65V,Dual Channel Kit,9-11-10-28,996996,,,,
Team Group,Team Vulcan 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory (Orange Heat Spreader) Model TLAD38G1600HC9DC01 Team Vulcan 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory (Orange Heat Spreader) Model TLAD38G1600HC9DC01,Team Vulcan 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory (Orange Heat Spreader) Model TLAD38G1600HC9DC01,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Dual Channel Kit,9-9-9-24,TLAD38G1600HC9DC01,,,,
Corsair,CORSAIR Vengeance 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMZ16GX3M2A1600C9G CORSAIR Vengeance 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMZ16GX3M2A1600C9G,CORSAIR Vengeance 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMZ16GX3M2A1600C9G,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Dual Channel Kit,9-9-9-24,CMZ16GX3M2A1600C9G,,,,
G.SKILL,G.SKILL 12GB (6 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9T2-12GBNQ G.SKILL 12GB (6 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9T2-12GBNQ,G.SKILL 12GB (6 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9T2-12GBNQ,DDR3 1333 (PC3 10666),1333; 10666,9,1.5V,Triple Channel Kit,9-9-9-24-2N,F3-10666CL9T2-12GBNQ,,,,
Silicon Power,Silicon Power 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) CL11UDIMM(512Mx8 SR)w/HSModel SP016GXLYU24ANDA Silicon Power 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) CL11UDIMM(512Mx8 SR)w/HSModel SP016GXLYU24ANDA,Silicon Power 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) CL11UDIMM(512Mx8 SR)w/HSModel SP016GXLYU24ANDA,DDR3 2400 (PC3 19200),2400; 19200,11,1.65V,Dual Channel Kit,11-13-13-32,SP016GXLYU24ANDA,,,,
Patriot Memory,Patriot Viper 3 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model PV332G213C1QK Patriot Viper 3 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model PV332G213C1QK,Patriot Viper 3 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model PV332G213C1QK,DDR3 2133 (PC3 17000),2133; 17000,11,1.5V,Quad Channel Kit,11-11-11-30,PV332G213C1QK,,,,
G.SKILL,G.SKILL Ripjaws Z Series 64GB (8 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-19200CL10Q2-64GBZHD G.SKILL Ripjaws Z Series 64GB (8 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-19200CL10Q2-64GBZHD,G.SKILL Ripjaws Z Series 64GB (8 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-19200CL10Q2-64GBZHD,DDR3 2400 (PC3 19200),2400; 19200,10,1.65V,Quad Channel Kit,10-12-12-31,F3-19200CL10Q2-64GBZHD,,,,
Mushkin Enhanced,Mushkin Enhanced Redline 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model 994119R Mushkin Enhanced Redline 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model 994119R,Mushkin Enhanced Redline 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model 994119R,DDR3 1866 (PC3 14900),1866; 14900,9,1.5V,Quad Channel Kit,9-10-9-27,994119R,,,,
HyperX,HyperX Savage 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model HX324C11SRK4/32 HyperX Savage 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model HX324C11SRK4/32,HyperX Savage 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model HX324C11SRK4/32,DDR3 2400 (PC3 19200),2400; 19200,11,1.65V,Quad Channel Kit,11/13/14,HX324C11SRK4/32,,,,
G.SKILL,G.SKILL Ripjaws Z Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model F3-1866C9Q-32GZH G.SKILL Ripjaws Z Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model F3-1866C9Q-32GZH,G.SKILL Ripjaws Z Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model F3-1866C9Q-32GZH,DDR3 1866 (PC3 14900),1866; 14900,9,1.5V,Quad Channel Kit,9-9-9-24,F3-1866C9Q-32GZH,,,,
