itembrand_image/_alt,wrapper_link/_text,itemdescription_description,itemfeatures_value_1,itemfeatures_value_1_numbers,Cas Latency:,Voltage:,Muli-Channel,Timing:,Model #:,Buffered,ECC,Headspreader,color
Crucial,Crucial Ballistix Sport LT 4GB 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) MemoryModel BLS4G4D240FSB Crucial Ballistix Sport LT 4GB 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) MemoryModel BLS4G4D240FSB,Crucial Ballistix Sport LT 4GB 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) MemoryModel BLS4G4D240FSB,DDR4 2400 (PC4-19200),2400; 19200,16,1.2V,,16; 16; 16,BLS4G4D240FSB,,No,,
Pareema Technology Co.Ltd,Pareema 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop MemoryModel MD316D81610L2 Pareema 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop MemoryModel MD316D81610L2,Pareema 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop MemoryModel MD316D81610L2,DDR3 1600 (PC3 12800),1600; 12800,10,1.5V,,10; 10; 10; 30,MD316D81610L2,,No,,
G.SKILL,G.SKILL Ripjaws Z Series 32GB (8 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model F3-14900CL9Q2-32GBZL G.SKILL Ripjaws Z Series 32GB (8 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model F3-14900CL9Q2-32GBZL,G.SKILL Ripjaws Z Series 32GB (8 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model F3-14900CL9Q2-32GBZL,DDR3 1866 (PC3 14900),1866; 14900,9,1.5V,,9; 10; 9; 28,F3-14900CL9Q2-32GBZL,,No,,
HyperX,HyperX FURY 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Compatible with Intel X99 chipset Memory Kit Model HX424C15FBK4/32 HyperX FURY 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Compatible with Intel X99 chipset Memory Kit Model HX424C15FBK4/32,HyperX FURY 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Compatible with Intel X99 chipset Memory Kit Model HX424C15FBK4/32,DDR4 2400 (PC4-19200),2400; 19200,15,1.2V,,15; 15; 15,HX424C15FBK4/32,,No,,
G.SKILL,G.SKILL 1GB 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Desktop Memory Model F2-6400CL5S-1GBNT G.SKILL 1GB 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Desktop Memory Model F2-6400CL5S-1GBNT,G.SKILL 1GB 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Desktop Memory Model F2-6400CL5S-1GBNT,DDR2 800 (PC2 6400),800; 6400,5,1.8V,,5; 5; 5; 15,F2-6400CL5S-1GBNT,,No,,
G.SKILL,G.SKILL Ripjaws Z Series 64GB (8 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model F3-1866C10Q2-64GZM G.SKILL Ripjaws Z Series 64GB (8 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model F3-1866C10Q2-64GZM,G.SKILL Ripjaws Z Series 64GB (8 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model F3-1866C10Q2-64GZM,DDR3 1866 (PC3 14900),1866; 14900,10,1.5V,,10; 11; 10; 30,F3-1866C10Q2-64GZM,,No,,
HyperX,HyperX Savage 4GB 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model HX324C11SR/4 HyperX Savage 4GB 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model HX324C11SR/4,HyperX Savage 4GB 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model HX324C11SR/4,DDR3 2400 (PC3 19200),2400; 19200,11,1.65V,,11; 13; 14,HX324C11SR/4,,No,,
G.SKILL,G.SKILL Ripjaws Z Series 64GB (8 x 8GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9Q2-64GBZL G.SKILL Ripjaws Z Series 64GB (8 x 8GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9Q2-64GBZL,G.SKILL Ripjaws Z Series 64GB (8 x 8GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9Q2-64GBZL,DDR3 1333 (PC3 10666),1333; 10666,9,1.5V,,9; 9; 9; 24,F3-10666CL9Q2-64GBZL,,No,,
G.SKILL,G.SKILL 1GB 240-Pin DDR2 SDRAM DDR2 667 (PC2 5300) Desktop Memory Model F2-5300PHU1-1GBNT G.SKILL 1GB 240-Pin DDR2 SDRAM DDR2 667 (PC2 5300) Desktop Memory Model F2-5300PHU1-1GBNT,G.SKILL 1GB 240-Pin DDR2 SDRAM DDR2 667 (PC2 5300) Desktop Memory Model F2-5300PHU1-1GBNT,DDR2 667 (PC2 5300),667; 5300,5,1.8V,,5; 5; 5; 15,F2-5300PHU1-1GBNT,,No,,
HyperX,HyperX FURY 8GB 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model HX421C14FB/8 HyperX FURY 8GB 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model HX421C14FB/8,HyperX FURY 8GB 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model HX421C14FB/8,DDR4 2133 (PC4-17000),2133; 17000,14,1.2V,,14; 14; 14,HX421C14FB/8,,No,,
Silicon Power,Silicon Power 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model SP004GBLTU160N02 Silicon Power 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model SP004GBLTU160N02,Silicon Power 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model SP004GBLTU160N02,DDR3 1600 (PC3 12800),1600; 12800,11,1.5V,,11; 11; 11; 28,SP004GBLTU160N02,,No,,
Mushkin Enhanced,Mushkin Enhanced Essentials 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 992030 Mushkin Enhanced Essentials 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 992030,Mushkin Enhanced Essentials 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 992030,DDR3 1600 (PC3 12800),1600; 12800,11,1.35V,,11; 11; 11; 28,992030,,No,,
G.SKILL,G.SKILL Ripjaws Z Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2933 (PC3 23400) Desktop Memory Model F3-2933C12Q-16GZHD G.SKILL Ripjaws Z Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2933 (PC3 23400) Desktop Memory Model F3-2933C12Q-16GZHD,G.SKILL Ripjaws Z Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2933 (PC3 23400) Desktop Memory Model F3-2933C12Q-16GZHD,DDR3 2933 (PC3 23400),2933; 23400,12,1.65V,,12; 14; 14; 35,F3-2933C12Q-16GZHD,,No,,
Corsair,CORSAIR Vengeance LP 8GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CML8GX3M1A1600C9 CORSAIR Vengeance LP 8GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CML8GX3M1A1600C9,CORSAIR Vengeance LP 8GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CML8GX3M1A1600C9,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,,9; 9; 9; 24,CML8GX3M1A1600C9,,No,,
HyperX,HyperX Savage 4GB 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model HX321C11SR/4 HyperX Savage 4GB 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model HX321C11SR/4,HyperX Savage 4GB 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model HX321C11SR/4,DDR3 2133 (PC3 17000),2133; 17000,11,1.6V,,11; 12; 12,HX321C11SR/4,,No,,
HyperX,HyperX Savage 8GB 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model HX318C9SR/8 HyperX Savage 8GB 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model HX318C9SR/8,HyperX Savage 8GB 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model HX318C9SR/8,DDR3 1866 (PC3 14900),1866; 14900,9,1.5V,,9; 10; 11,HX318C9SR/8,,No,,
Pareema Technology Co.Ltd,Pareema 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model MD316C81611L1 Pareema 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model MD316C81611L1,Pareema 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model MD316C81611L1,DDR3 1600 (PC3 12800),1600; 12800,11,1.5V,,11; 11; 11; 30,MD316C81611L1,,No,,
Pareema Technology Co.Ltd,Pareema 8GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model MD313D81609L1 Pareema 8GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model MD313D81609L1,Pareema 8GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model MD313D81609L1,DDR3 1333 (PC3 10600),1333; 10600,9,1.5V,,9; 9; 9; 24,MD313D81609L1,,No,,
Pareema Technology Co.Ltd,Pareema 2GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model MD313C80809L1 Pareema 2GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model MD313C80809L1,Pareema 2GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model MD313C80809L1,DDR3 1333 (PC3 10600),1333; 10600,9,1.5V,,9; 9; 9; 24,MD313C80809L1,,No,,
G.SKILL,G.SKILL Ripjaws Z Series 64GB (8 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C9Q2-64GZH G.SKILL Ripjaws Z Series 64GB (8 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C9Q2-64GZH,G.SKILL Ripjaws Z Series 64GB (8 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C9Q2-64GZH,DDR3 2133 (PC3 17000),2133; 17000,9,1.6V,,9; 11; 11; 31,F3-2133C9Q2-64GZH,,No,,
Crucial,Crucial Ballistix Elite 8GB 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model BLE8G3D1869DE1TX0 Crucial Ballistix Elite 8GB 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model BLE8G3D1869DE1TX0,Crucial Ballistix Elite 8GB 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model BLE8G3D1869DE1TX0,DDR3 1866 (PC3 14900),1866; 14900,9,1.5V,,9; 9; 9; 27,BLE8G3D1869DE1TX0,,No,,
G.SKILL,G.SKILL Ripjaws Z Series 64GB (8 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C10Q2-64GZM G.SKILL Ripjaws Z Series 64GB (8 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C10Q2-64GZM,G.SKILL Ripjaws Z Series 64GB (8 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C10Q2-64GZM,DDR3 2133 (PC3 17000),2133; 17000,10,1.6V,,10; 12; 12; 31,F3-2133C10Q2-64GZM,,No,,
G.SKILL,G.SKILL Ripjaws Series 4GB 240-Pin DDR3 SDRAM DDR3 1066 (PC3 8500) Desktop Memory Model F3-8500CL7S-4GBRL G.SKILL Ripjaws Series 4GB 240-Pin DDR3 SDRAM DDR3 1066 (PC3 8500) Desktop Memory Model F3-8500CL7S-4GBRL,G.SKILL Ripjaws Series 4GB 240-Pin DDR3 SDRAM DDR3 1066 (PC3 8500) Desktop Memory Model F3-8500CL7S-4GBRL,DDR3 1066 (PC3 8500),1066; 8500,7,1.5V,,7; 7; 7; 18,F3-8500CL7S-4GBRL,,No,,
G.SKILL,G.SKILL Ripjaws Z Series 32GB (8 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-17000CL11Q2-32GBZL G.SKILL Ripjaws Z Series 32GB (8 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-17000CL11Q2-32GBZL,G.SKILL Ripjaws Z Series 32GB (8 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-17000CL11Q2-32GBZL,DDR3 2133 (PC3 17000),2133; 17000,11,1.6V,,11; 11; 11; 30,F3-17000CL11Q2-32GBZL,,No,,
G.SKILL,G.SKILL Sniper Series 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-12800CL9S-4GBSR G.SKILL Sniper Series 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-12800CL9S-4GBSR,G.SKILL Sniper Series 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-12800CL9S-4GBSR,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,,9; 9; 9; 24,F3-12800CL9S-4GBSR,,No,,
G.SKILL,G.SKILL 2GB 240-Pin DDR2 SDRAM DDR2 667 (PC2 5300) Desktop Memory Model F2-5300CL4S-2GBPQ G.SKILL 2GB 240-Pin DDR2 SDRAM DDR2 667 (PC2 5300) Desktop Memory Model F2-5300CL4S-2GBPQ,G.SKILL 2GB 240-Pin DDR2 SDRAM DDR2 667 (PC2 5300) Desktop Memory Model F2-5300CL4S-2GBPQ,DDR2 667 (PC2 5300),667; 5300,4,1.8V - 1.9V,,4; 4; 4; 12,F2-5300CL4S-2GBPQ,,No,,
G.SKILL,G.SKILL Ripjaws Z Series 32GB (8 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-17000CL9Q2-32GBZH G.SKILL Ripjaws Z Series 32GB (8 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-17000CL9Q2-32GBZH,G.SKILL Ripjaws Z Series 32GB (8 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-17000CL9Q2-32GBZH,DDR3 2133 (PC3 17000),2133; 17000,9,1.65V,,9; 11; 10; 28,F3-17000CL9Q2-32GBZH,,No,,
G.SKILL,G.SKILL Value 4GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9S-4GBNT G.SKILL Value 4GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9S-4GBNT,G.SKILL Value 4GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9S-4GBNT,DDR3 1333 (PC3 10666),1333; 10666,9,1.5V,,9; 9; 9; 24,F3-10666CL9S-4GBNT,,No,,
Pareema Technology Co.Ltd,Pareema 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop MemoryModel MD316D81611L2 Pareema 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop MemoryModel MD316D81611L2,Pareema 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop MemoryModel MD316D81611L2,DDR3 1600 (PC3 12800),1600; 12800,11,1.5V,,11; 11; 11; 28,MD316D81611L2,,No,,
Crucial,Crucial Ballistix Sport LT 8GB (2 x 4GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Model BLS2K4G4D240FSB Crucial Ballistix Sport LT 8GB (2 x 4GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Model BLS2K4G4D240FSB,Crucial Ballistix Sport LT 8GB (2 x 4GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Model BLS2K4G4D240FSB,DDR4 2400 (PC4-19200),2400; 19200,16,1.2V,,16; 16; 16,BLS2K4G4D240FSB,,No,,
HyperX,HyperX FURY 4GB 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop MemoryModel HX421C14FB/4 HyperX FURY 4GB 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop MemoryModel HX421C14FB/4,HyperX FURY 4GB 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop MemoryModel HX421C14FB/4,DDR4 2133 (PC4-17000),2133; 17000,14,1.2V,,14; 14; 14,HX421C14FB/4,,No,,
HyperX,HyperX FURY 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Compatible with Intel X99 chipset Memory Kit Model HX424C15FBK4/16 HyperX FURY 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Compatible with Intel X99 chipset Memory Kit Model HX424C15FBK4/16,HyperX FURY 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Compatible with Intel X99 chipset Memory Kit Model HX424C15FBK4/16,DDR4 2400 (PC4-19200),2400; 19200,15,1.2V,,15; 15; 15,HX424C15FBK4/16,,No,,
G.SKILL,G.SKILL Value Series 8GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model F3-10600CL9S-8GBNT G.SKILL Value Series 8GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model F3-10600CL9S-8GBNT,G.SKILL Value Series 8GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model F3-10600CL9S-8GBNT,DDR3 1333 (PC3 10600),1333; 10600,9,1.5V,,9; 9; 9,F3-10600CL9S-8GBNT,,No,,
Silicon Power,Silicon Power 4GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model SP004GBLTU133N02 Silicon Power 4GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model SP004GBLTU133N02,Silicon Power 4GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model SP004GBLTU133N02,DDR3 1333 (PC3 10600),1333; 10600,9,1.5V,,9; 9; 9; 24,SP004GBLTU133N02,,No,,
Crucial,Crucial Ballistix Tactical Tracer 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory (with Orange/Blue Light) Model BLT4G3D1608DT2TXOB Crucial Ballistix Tactical Tracer 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory (with Orange/Blue Light) Model BLT4G3D1608DT2TXOB,Crucial Ballistix Tactical Tracer 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory (with Orange/Blue Light) Model BLT4G3D1608DT2TXOB,DDR3 1600 (PC3 12800),1600; 12800,8,1.5V,,8; 8; 8; 24,BLT4G3D1608DT2TXOB,,No,,
Crucial,Crucial Ballistix Tactical Tracer 4GB 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory (with Red/Green Light) Model BLT4G3D1869DT2TXRG Crucial Ballistix Tactical Tracer 4GB 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory (with Red/Green Light) Model BLT4G3D1869DT2TXRG,Crucial Ballistix Tactical Tracer 4GB 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory (with Red/Green Light) Model BLT4G3D1869DT2TXRG,DDR3 1866 (PC3 14900),1866; 14900,9,1.5V,,9; 9; 9; 27,BLT4G3D1869DT2TXRG,,No,,
G.SKILL,G.SKILL Ares Series 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C9S-4GAB G.SKILL Ares Series 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C9S-4GAB,G.SKILL Ares Series 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C9S-4GAB,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,,9; 9; 9; 24,F3-1600C9S-4GAB,,No,,
Crucial,Crucial Ballistix Sport LT 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Model BLS4K8G4D240FSB Crucial Ballistix Sport LT 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Model BLS4K8G4D240FSB,Crucial Ballistix Sport LT 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Model BLS4K8G4D240FSB,DDR4 2400 (PC4-19200),2400; 19200,16,1.2V,,16; 16; 16,BLS4K8G4D240FSB,,No,,
G.SKILL,G.SKILL 4GB 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Desktop Memory Model F2-6400CL5S-4GBPQ G.SKILL 4GB 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Desktop Memory Model F2-6400CL5S-4GBPQ,G.SKILL 4GB 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Desktop Memory Model F2-6400CL5S-4GBPQ,DDR2 800 (PC2 6400),800; 6400,5,1.8V - 1.9V,,5; 5; 5; 15,F2-6400CL5S-4GBPQ,,No,,
Pareema Technology Co.Ltd,Pareema 8GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop MemoryModel MD316D81611L1 Pareema 8GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop MemoryModel MD316D81611L1,Pareema 8GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop MemoryModel MD316D81611L1,DDR3 1600 (PC3 12800),1600; 12800,11,1.5V,,11; 11; 11; 28,MD316D81611L1,,No,,
Crucial,Crucial Ballistix Sport LT 8GB 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Model BLS8G4D240FSB Crucial Ballistix Sport LT 8GB 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Model BLS8G4D240FSB,Crucial Ballistix Sport LT 8GB 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Model BLS8G4D240FSB,DDR4 2400 (PC4-19200),2400; 19200,16,1.2V,,16; 16; 16,BLS8G4D240FSB,,No,,
Pareema Technology Co.Ltd,Pareema 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model MD316C81609L1 Pareema 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model MD316C81609L1,Pareema 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model MD316C81609L1,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,,9; 9; 9; 24,MD316C81609L1,,No,,
Team Group,Team Elite 4GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model TED34096M1333HC9 Team Elite 4GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model TED34096M1333HC9,Team Elite 4GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model TED34096M1333HC9,DDR3 1333 (PC3 10600),1333; 10600,9,1.5V,,9; 9; 9; 24,TED34096M1333HC9,,No,,
G.SKILL,G.SKILL AEGIS 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C11S-4GIS G.SKILL AEGIS 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C11S-4GIS,G.SKILL AEGIS 4GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C11S-4GIS,DDR3 1600 (PC3 12800),1600; 12800,11,1.5V,,11; 11; 11; 28,F3-1600C11S-4GIS,,No,,
G.SKILL,G.SKILL NS 2GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9S-2GBNS G.SKILL NS 2GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9S-2GBNS,G.SKILL NS 2GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9S-2GBNS,DDR3 1333 (PC3 10666),1333; 10666,9,1.5V,,9; 9; 9; 24,F3-10666CL9S-2GBNS,,No,,
Crucial,Crucial Ballistix Sport LT 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Model BLS4K4G4D240FSB Crucial Ballistix Sport LT 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Model BLS4K4G4D240FSB,Crucial Ballistix Sport LT 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Model BLS4K4G4D240FSB,DDR4 2400 (PC4-19200),2400; 19200,16,1.2V,,16; 16; 16,BLS4K4G4D240FSB,,No,,
G.SKILL,G.SKILL 2GB 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Desktop Memory Model F2-6400CL5S-2GBNT G.SKILL 2GB 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Desktop Memory Model F2-6400CL5S-2GBNT,G.SKILL 2GB 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Desktop Memory Model F2-6400CL5S-2GBNT,DDR2 800 (PC2 6400),800; 6400,5,1.8V,,5; 5; 5; 15,F2-6400CL5S-2GBNT,,No,,
Mushkin Enhanced,Mushkin Enhanced Essentials 2GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 992029 Mushkin Enhanced Essentials 2GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 992029,Mushkin Enhanced Essentials 2GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 992029,DDR3 1600 (PC3 12800),1600; 12800,11,1.35V,,11; 11; 11; 28,992029,,No,,
G.SKILL,G.SKILL AEGIS 8GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model F3-1333C9S-8GIS G.SKILL AEGIS 8GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model F3-1333C9S-8GIS,G.SKILL AEGIS 8GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model F3-1333C9S-8GIS,DDR3 1333 (PC3 10600),1333; 10600,9,1.5V,,9; 9; 9; 24,F3-1333C9S-8GIS,,No,,
