Intel,Core i5-4670R,Haswell,1364,22,3,4,65,Iris Pro Graphics 5200,6/1/13,CL8064701508403,276
Intel,Core i3-3245,Ivy Bridge ,1155,22,3.4,2,55,HD Graphics 4000,6/1/13,CM8063701391700,134
Intel,Core i3-3250,Ivy Bridge ,1155,22,3.5,2,55,HD Graphics 2500,6/1/13,CM8063701392200,138
Intel,Core i3-3250T,Ivy Bridge ,1155,22,3,2,35,HD Graphics 2500,6/1/13,CM8063701391800,138
Intel,Core i7-4790K,Haswell,1150,22,4,4,88,HD Graphics 4600,6/1/14,CM8064601710501,339
Intel,Core i5-4690K,Haswell,1150,22,3.5,4,88,HD Graphics 4600,6/1/14,CM8064601710803,242
Intel,Core i7-950,Bloomfield,1366,45,3.07,4,130,,6/1/09,BX80601950,562
Intel,Core i7-975,Bloomfield,1366,45,3.33,4,130,,6/1/09,BX80601975,999
Intel,Core i7-870S,Lynnfield,1156,45,2.67,4,82,,7/1/10,BX80605I7870S,351
Intel,Core i7-970,Gulftown,1366,32,3.2,6,130,,7/1/10,AT80613005490AD,885
Intel,Core i3-4160,Haswell,1150,22,3.6,2,54,HD Graphics 4400,7/1/14,CM8064601483644,117
Intel,Core i3-4370,Haswell,1150,22,3.8,2,54,HD Graphics 4600,7/1/14,CM8064601482462,149
Intel,Core i3-4160T,Haswell,1150,22,3.1,2,35,HD Graphics 4400,7/1/14,CM8064601483535,117
Intel,Core i3-4360T,Haswell,1150,22,3.2,2,35,HD Graphics 4600,7/1/14,CM8064601481958,138
Intel,Core i3-560,Clarkdale,1156,32,3.33,2,73,,8/1/10,CM80616003177AH,138
Intel,Core i7-5820K,Haswell,2011-3,22,3.3,6,140,,8/1/14,CM8064801548435,389
Intel,Core i7-5930K,Haswell,  2011-3,22,3.5,6,140,,8/1/14,CM8064801548338,583
Intel,Core i7-5960X,Haswell,  2011-3,22,3,8,140,,8/1/14,CM8064801547964,999
Intel,Core i5-2320,Sandy Bridge,1155,32,3,4,95,HD Graphics 2000,9/1/11,CM8062301043820,177
Intel,Core i3-2125,Sandy Bridge,1155,32,3.3,2,65,HD Graphics 3000,9/1/11,BX80623I32125,134
Intel,Core i3-2130,Sandy Bridge,1155,32,3.4,2,65,HD Graphics 2000,9/1/11,CM8062301043904,138
Intel,Core i3-2120T,Sandy Bridge,1155,32,2.6,2,35,HD Graphics 2000,9/1/11,CM8062301046008,127
Intel,Core i5-3330,Ivy Bridge ,1155,22,3,4,77,HD Graphics 2500,9/1/12,CM8063701134306,182
Intel,Core i5-3350P,Ivy Bridge ,1155,22,3.1,4,69,N/A,9/1/12,CM8063701392600,177
Intel,Core i5-3330S,Ivy Bridge ,1155,22,2.7,4,65,HD Graphics 2500,9/1/12,CM8063701159804,177
Intel,Core i5-3335S,Ivy Bridge ,1155,22,2.7,4,65,HD Graphics 4000,9/1/12,CM8063701277200,194
